Unnamed: 0,Model Type,Noise Steps,Sections,CFG,FID,MSE,MSE_Norm,Var_Diff
0,nophys,1000,15,1,120.61537960983536,5866.1974822998045,3.757710419449722e-05,41.14962034004144
1,nophys,1000,15,3,119.17753376223072,164354.5998779297,0.0004665765671234,108.5897249029992
2,nophys,1000,15,5,123.69727591051236,79269.14716796875,0.0004437662499185,47.83000511194797
3,nophys,1000,15,6,117.78429814608717,171330.84236221312,0.000534927631088,168.91766605307762
4,nophys,1000,15,7,121.52195939671223,89960.36962547303,0.0005520714235899,271.6351848502341
5,nophys,1000,9+6,1,119.73615027535416,5646.465142822266,3.69459542525874e-05,42.42140903650032
6,nophys,1000,9+6,3,128.13830028058078,47908.50141601564,0.0004770510033267,32.66430492372925
7,nophys,1000,9+6,5,126.53283295674224,129383.4372200012,0.000958665858343,48.60183468862441
8,nophys,1000,9+6,6,124.644270766111,139808.03153381348,0.0011907421863725,87.2142634927767
9,nophys,1000,9+6,7,124.788318966218,142233.3389175415,0.0015806487223017,102.9563758895187
10,nophys,1000,25,1,118.95029278554236,6703.0583923339855,4.137215537411976e-05,46.71825574234684
11,nophys,1000,25,3,119.05659737828532,23099.228173828124,0.0004486475557314,90.40590578454308
12,nophys,1000,25,5,122.66234423483084,61821.7701965332,0.0004645645767595,195.5393020430776
13,nophys,1000,25,6,122.32673819813854,57883.102778625485,0.000881257452238,231.8052069189643
14,nophys,1000,25,7,125.27030736165732,33826.06776332855,0.0006583723847143,294.69643496488465
15,nophys,1000,18+7,1,119.9737824996344,7949.807376098633,4.543242112049483e-05,42.318325716465786
16,nophys,1000,18+7,3,125.38901037829989,27002.66845703125,0.0004873452702668,56.27594446076107
17,nophys,1000,18+7,5,125.08367648591825,81233.13385543824,0.0009848318773947,61.67741326598792
18,nophys,1000,18+7,6,125.5496721868314,111909.44282073974,0.0011923759642741,105.73162500428728
19,nophys,1000,18+7,7,127.13812325828351,90964.6943145752,0.001294895074352,146.11724746518206
20,nophys,1000,45,1,118.02157423022,10983.691772460938,6.590157172468026e-05,49.691246548981816
21,nophys,1000,45,3,116.65401092352124,18502.345129394533,0.00045420484239,65.65851195686363
22,nophys,1000,45,5,116.79243985867804,74901.72829036713,0.000481978062271,121.37721943476086
23,nophys,1000,45,6,116.2837376522332,140726.27932891846,0.0005276878302538,116.38180615029232
24,nophys,1000,45,7,120.05469805931736,129219.32249069215,0.0006810485450841,176.8312623042968
25,nophys,700,15,1,129.2701525056099,22122.01321258545,3.68231622815074e-05,78.04192260426909
26,nophys,700,15,3,122.665829673881,66479.83655395507,0.0004355577169008,64.01995963730792
27,nophys,700,15,5,123.44046811744712,144055.94589920045,0.0004598617131705,66.20258474316154
28,nophys,700,15,6,126.42569448091712,189352.123349762,0.0005076430725239,69.15475363271393
29,nophys,700,15,7,127.77530025012535,228067.1773391724,0.0005196378877371,69.21292175943115
30,nophys,700,9+6,1,126.93924880732412,29812.687121582032,3.444335570748081e-05,61.2474590531328
31,nophys,700,9+6,3,127.33591509886988,133082.28857421875,0.0004212685491438,64.49820964031483
32,nophys,700,9+6,5,123.39995042069349,248246.0623046875,0.0004219546747663,80.15291180116311
33,nophys,700,9+6,6,124.44701647818307,328985.79423828126,0.000421750598798,60.266710115779226
34,nophys,700,9+6,7,121.2872207785258,440569.04306640633,0.0004313659225772,52.472936610875166
35,nophys,700,25,1,121.96130813843098,15695.888848876952,3.117423420917476e-05,63.10025512391539
36,nophys,700,25,3,126.68570900910456,73163.94772949218,0.0004255748579453,63.83227679112704
37,nophys,700,25,5,128.10920136741998,207571.2773086548,0.000460719131297,75.04781981964244
38,nophys,700,25,6,126.01262746267273,301662.9497406006,0.0004767889153299,64.1834185793497
39,nophys,700,25,7,129.90947569136037,347125.7194519043,0.0004987696034731,70.30352531661444
40,nophys,700,18+7,1,124.49008123262016,30437.182995605468,6.864299311928334e-05,62.93271865036239
41,nophys,700,18+7,3,127.31032034781632,123356.90546875,0.0004207573205349,69.37502561810928
42,nophys,700,18+7,5,125.54466287547466,268891.36953125,0.0004222026866955,59.60969815705041
43,nophys,700,18+7,6,125.28540706889092,332321.5314453125,0.0004280493360056,65.61736934930886
44,nophys,700,18+7,7,124.24204837085632,428864.6341308594,0.0004361040261755,65.38725879213054
45,nophys,700,45,1,115.8765638631545,15181.241510009766,0.0001286758847072,78.83017748632267
46,nophys,700,45,3,121.90625543172672,57374.65522460938,0.0004261134676198,75.75247196459142
47,nophys,700,45,5,119.60289625341778,178883.04010162354,0.00045693637785,58.375155336711686
48,nophys,700,45,6,118.28786345035576,275194.6083480835,0.0004569022215946,62.66320688784915
49,nophys,700,45,7,118.44942676962332,319269.0134429932,0.0005100009093439,68.77662822987358
50,nophys,850,15,1,119.23935560010828,8290.851141357422,3.7074590090924174e-05,71.22487377872542
51,nophys,850,15,3,128.29927031883088,55561.91750488281,0.0004352813726654,83.47517288674814
52,nophys,850,15,5,125.4717922726543,116807.36581192016,0.0006192618138811,90.1506750286868
53,nophys,850,15,6,131.36347991011408,94061.1572731018,0.0005926913912844,144.65404718760055
54,nophys,850,15,7,135.0390625576429,165518.16981048585,0.000686594882427,107.16803119577574
55,nophys,850,9+6,1,117.85656719515544,9426.815240478516,3.615677860580036e-05,84.2178159904025
56,nophys,850,9+6,3,128.13169818816394,106902.0927734375,0.0004238732633893,62.68330028783328
57,nophys,850,9+6,5,118.84247619950062,187300.5284790039,0.000432901419208,47.853300273140725
58,nophys,850,9+6,6,127.5926201423456,222703.5806640625,0.0004320238772379,44.55058902289943
59,nophys,850,9+6,7,129.30446803318208,232630.4669250488,0.0004592598535055,42.08252669928368
60,nophys,850,25,1,117.97289004087024,5950.504182052612,3.344438200656441e-05,65.41839783783685
61,nophys,850,25,3,121.01403280795306,49372.234814453135,0.0004293975727705,83.30378679384941
62,nophys,850,25,5,118.94152863160828,90479.95232238767,0.0004675425323512,82.83175462476186
63,nophys,850,25,6,122.13692546322972,116981.90917816162,0.0005604005256827,76.26779370277977
64,nophys,850,25,7,128.0505000945184,128205.12461242676,0.0008523396161763,79.20718539936813
65,nophys,850,18+7,1,120.20181730723472,9394.062109375,3.777888573495147e-05,89.43599353603688
66,nophys,850,18+7,3,127.39009629653248,83383.67236328125,0.0004224645850626,78.89058544595022
67,nophys,850,18+7,5,124.72296871961704,204032.7240234375,0.0004285797367629,62.19208325245626
68,nophys,850,18+7,6,130.45715301714864,225349.0833251953,0.0004407800272929,37.27565079833506
69,nophys,850,18+7,7,133.08831187132566,239711.4656738281,0.0004568002990708,39.06037699971439
70,nophys,850,45,1,117.38771786733057,5863.241104125977,3.426463481446262e-05,75.4765091582813
71,nophys,850,45,3,118.8856212187714,48444.96507568358,0.0006675169557638,89.40051514031197
72,nophys,850,45,5,120.9455808970082,86607.87420654298,0.0004704391563791,81.23752539610703
73,nophys,850,45,6,124.89884489458584,99827.0913696289,0.0006015266784743,107.02269569678984
74,nophys,850,45,7,124.90121357224596,118042.95813598632,0.0008543221432773,85.33163065662835
75,phys_spec,1000,15,1,126.02801765801748,9887.387280273437,0.0006148604679765,44.0457200006293
