Section,N,Time per Image (seconds)
15,1,1.808502197265625
25,1,1.3637778759002686
45,1,2.0752036571502686
15,2,0.5432937145233154
25,2,0.7860168218612671
45,2,1.4389594793319702
15,3,0.4297473430633545
25,3,0.7276764710744222
45,3,1.2746484279632568
15,4,0.41436564922332764
25,4,0.606285572052002
45,4,1.1663143634796143
15,5,0.3598019123077393
25,5,0.5638555526733399
45,5,1.0404377460479737
15,6,0.33913711706797284
25,6,0.5675618251164755
45,6,1.0240729649861653
15,7,0.3329996722085135
25,7,0.5643808501107352
45,7,1.026846511023385
15,8,0.3232046067714691
25,8,0.5468751192092896
45,8,0.982435405254364
15,9,0.41825177934434676
25,9,0.5379627280765109
45,9,0.9836876392364502
15,10,0.32163000106811523
25,10,0.5337226629257202
45,10,0.9539665460586548
15,11,0.31426442753184924
25,11,0.5347946340387518
45,11,0.9631245136260986
15,12,0.36600897709528607
25,12,0.5284547209739685
45,12,0.9497759143511454
15,13,0.30564451217651367
25,13,0.5213779302743765
45,13,0.9409164648789626
15,14,0.3613281420298985
25,14,0.5208073684147426
45,14,0.9434743268149239
15,15,0.3051848252614339
25,15,0.5133121649424235
45,15,0.9324902534484864
15,16,0.35998789966106415
25,16,0.5124664306640625
45,16,0.9315409660339355
15,17,0.3402730857624727
25,17,0.5115999614491182
45,17,0.926173027823953
15,18,0.3372946050431993
25,18,0.5052084922790527
45,18,0.9184645679261949
15,19,0.3390404425169292
25,19,0.5088435348711515
45,19,0.9213114412207353
15,20,0.3342480778694153
25,20,0.5015152335166931
45,20,0.9128032803535462
