Noise Steps,N,Time per Image (seconds)
700,1,33.77618217468262
700,2,22.580389499664307
700,3,19.05296015739441
700,4,17.391420364379883
700,5,16.109270572662354
700,6,15.966085513432821
700,7,15.699436289923531
700,8,15.305009067058563
700,9,15.397060606214735
700,10,14.978510975837708
700,11,15.085342754017223
700,12,14.968358914057413
700,13,14.694066854623648
700,14,14.890468324933734
700,15,14.624975570042928
700,16,14.583289861679077
700,17,14.611508692012114
700,18,14.484107044008043
700,19,14.498864901693244
700,20,14.334170150756837
850,1,31.358354568481445
850,2,22.889598846435547
850,3,20.88802735010783
850,4,19.812057971954346
850,5,18.89351725578308
850,6,18.898934880892437
850,7,18.728793348584855
850,8,18.24689492583275
850,9,18.324258751339382
850,10,17.992103362083434
850,11,18.080556067553434
850,12,17.913063804308575
850,13,17.646367696615364
850,14,17.83111379827772
850,15,17.59814737637838
850,16,17.483521685004234
850,17,17.552268154480878
850,18,17.377498083644443
850,19,17.495845192357113
850,20,17.383868181705473
1000,1,46.6012806892395
1000,2,31.712741255760193
1000,3,27.370734850565594
1000,4,24.92602849006653
1000,5,23.145415782928467
1000,6,22.8655606508255
1000,7,22.574322359902517
1000,8,21.89261355996132
1000,9,21.949918535020615
1000,10,21.480272078514098
1000,11,21.564046664671466
1000,12,21.313518782456715
1000,13,20.99494382051321
1000,14,21.170807225363596
1000,15,20.912516991297405
1000,16,20.752807095646858
1000,17,20.814072622972375
1000,18,20.61527627044254
1000,19,20.661745774118526
1000,20,20.463900697231292
