Physics,Sections,CFG,FID
cossched,cos15,2,18.854740304661526
nophys,30,6,20.14715805979562
cossched,20,3,19.266364117699432
cossched,cos15,8,48.557870787373865
cossched,30,6,29.06910447836547
nophys,15,7,25.74572753628515
nophys,cos25,1,9.43424343072156
nophys,10,3,11.794358499962271
nophys,cos15,6,22.212731590653682
cossched,10,8,32.14327662156428
nophys,10,5,17.315115451714025
cossched,cos25,1,14.850096783668846
nophys,15,2,11.996666061091961
cossched,cos10,3,21.860078616400454
cossched,cos30,2,16.56259070580112
nophys,cos25,3,14.962279755590107
nophys,25,7,23.92131163997264
nophys,10,2,11.231148026391896
nophys,25,1,9.622494494618618
cossched,20,8,45.313041515476925
nophys,cos30,1,9.760619854245267
nophys,25,6,22.565835232312075
cossched,15,7,49.81515760434655
nophys,cos20,4,19.268535235916524
nophys,cos15,4,18.395430177443195
nophys,cos30,2,12.118495350010281
cossched,cos20,2,17.916680635115803
nophys,cos10,7,25.273655057090576
cossched,cos20,1,15.055072533021653
nophys,30,7,21.365400595261782
nophys,15,3,14.096017981574153
cossched,10,6,26.358513931836228
cossched,30,3,18.8437813991467
cossched,cos30,1,14.652517392070575
nophys,15,4,17.690828385741334
cossched,20,4,23.319381353247852
cossched,cos15,3,22.238001602778617
nophys,25,5,20.661984654496628
cossched,cos30,7,36.39844239215658
nophys,cos10,4,19.382941575294304
nophys,15,5,20.635300771432334
nophys,25,2,11.897882872927282
nophys,10,6,18.794636558182226
nophys,25,4,17.815041130426568
cossched,cos25,2,16.68465396532239
nophys,cos30,3,15.265284701869712
cossched,cos10,5,29.189978154001686
cossched,10,3,19.376730750863665
cossched,cos30,6,30.435315344230112
nophys,cos20,6,23.06242736548554
cossched,cos25,6,28.946486719126575
nophys,30,3,13.667126146287256
nophys,20,2,11.449826526305433
cossched,cos30,8,42.77310055670648
cossched,cos10,6,34.65034317063011
cossched,25,1,14.341943033485233
nophys,cos15,2,11.868763332613158
cossched,25,3,19.372613619900868
cossched,15,8,59.04873647492311
nophys,30,1,10.238026275956615
cossched,cos25,3,18.7063609646766
cossched,cos15,4,26.817419960507472
nophys,25,3,15.31072016925285
cossched,25,4,21.982475260985705
nophys,20,8,25.458522750346088
nophys,10,4,14.61156489644058
nophys,cos15,1,9.519314182285996
nophys,20,3,14.391928024509628
nophys,cos30,5,20.84134806766459
cossched,20,6,33.62888776751063
nophys,cos25,4,17.477097745417584
nophys,30,8,23.139511433536406
cossched,30,7,35.6880536216915
nophys,cos20,1,9.65116473326528
nophys,cos10,1,9.678724007266425
cossched,10,5,23.825699846841054
nophys,30,2,11.24279275164464
nophys,15,8,30.005767390897574
nophys,cos20,7,25.275543185406704
cossched,10,2,17.830546529314056
cossched,cos30,3,19.689471397397504
nophys,30,5,17.96632209924518
nophys,cos30,8,28.927913149778288
nophys,20,5,20.181462470199335
cossched,cos20,3,21.32217068429068
cossched,cos10,4,25.120297458611738
nophys,15,6,22.74059575414936
nophys,20,4,16.885883827750156
nophys,cos20,3,14.819855451614634
cossched,10,1,16.94525587894751
nophys,10,1,9.200570625150137
nophys,cos15,7,24.724087433620205
nophys,cos25,5,19.993732745705707
cossched,25,7,34.931901273257445
cossched,cos10,7,40.7034703743603
cossched,cos20,8,47.88336084598933
cossched,15,2,18.10040039364511
cossched,20,2,16.6365354470231
nophys,20,6,22.773264091029034
cossched,cos10,2,18.485879339131635
nophys,cos30,6,23.44865630596979
nophys,cos10,6,23.539503489785535
nophys,20,7,24.127409471999112
cossched,cos25,4,22.057036695824333
cossched,25,8,41.316401145463054
cossched,30,1,13.73899417813156
cossched,15,3,21.39915444755416
cossched,30,5,24.85228115787023
cossched,cos25,7,33.27926494315667
cossched,10,7,28.55664999749259
cossched,30,4,21.78781910294516
nophys,cos10,2,12.439023786545228
nophys,cos30,4,18.500981357795503
cossched,10,4,21.539639572123008
nophys,20,1,9.274582958959106
cossched,cos15,6,35.36838073071238
nophys,cos15,8,28.858668696478553
nophys,cos20,5,20.47030250315183
cossched,20,1,14.100594626034148
nophys,cos10,5,21.44952378487462
nophys,cos15,5,20.42560748430704
nophys,cos15,3,15.159486747449709
cossched,cos30,5,27.07921292795254
cossched,25,5,24.82566414268634
nophys,cos25,6,22.425308898331924
nophys,cos20,8,29.328050704591924
cossched,cos15,7,41.87593263873919
nophys,10,8,22.70490621288778
nophys,25,8,26.467026940750465
cossched,cos20,4,25.181428488847388
cossched,cos15,5,29.330034334332368
nophys,cos30,7,24.983178525871693
nophys,cos20,2,12.258856638561866
nophys,cos10,3,15.971591981998387
nophys,10,7,20.458328442241033
cossched,cos20,7,40.93171347297658
cossched,cos20,5,30.4273989929317
cossched,cos10,8,47.372384935836905
cossched,15,1,15.268218039010218
cossched,cos25,8,41.305423146326405
cossched,cos30,4,23.6823593116204
nophys,cos10,8,29.654151595236364
cossched,20,5,27.625951301098304
cossched,30,8,40.587696812347986
cossched,20,7,38.502762482517774
cossched,15,5,31.513181022357184
cossched,cos10,1,16.46636005780426
nophys,cos25,2,11.525945956382241
cossched,15,4,25.97309582425793
cossched,cos20,6,34.11561381099942
nophys,15,1,9.259029648661667
cossched,30,2,16.007031670730473
cossched,15,6,37.98989216041464
nophys,30,4,15.723349567940327
cossched,cos25,5,25.19218828637209
cossched,25,2,16.821518348685878
nophys,cos25,8,27.789988827231223
cossched,cos15,1,16.359659376460023
cossched,25,6,30.49630848840412
nophys,cos25,7,25.50790851805373
