Physics,Sections,CFG,FID
phys10th,15,7,44.78763269629981
phys10th_beam,2x9plus7,5,25.44554835853007
phys10th_beam,2x9plus7,3,18.57690321885827
phys10th_beam,45,1,10.73396085072428
nophys,2x9plus7,1,10.321818781538587
phys10th,25,7,43.28737775815598
phys10th_beam,1x9plus6,7,29.862592025238268
phys10th,45,6,21.405086905716985
phys10th_beam,25,5,21.438193638506007
phys10th_beam,2x9plus7,5,23.881423804333945
nophys,1x9plus6,1,14.262113779084135
nophys,2x9plus7,7,36.41516058059785
nophys,15,3,17.66740992555814
phys10th_beam,15,5,21.13232735303737
phys10th,2x9plus7,6,36.59489939385568
phys10th_beam,25,7,21.6694071472963
phys10th_beam,15,6,15.01759923362275
phys10th,1x9plus6,5,17.4140314658594
phys10th,15,6,40.498492286963845
nophys,2x9plus7,3,20.637355747738216
phys10th_beam,1x9plus6,7,26.640965552649938
phys10th,15,3,25.367424426080003
nophys,25,3,17.193690058354452
phys10th,1x9plus6,1,14.930433810910785
phys10th,1x9plus6,5,34.84132718573072
phys10th,25,7,23.35395985002259
phys10th,45,1,10.137213704403205
phys10th,45,3,13.767721993571655
nophys,1x9plus6,5,20.8561363955212
phys10th,1x9plus6,7,41.70809347668219
phys10th,2x9plus7,5,17.912311180505117
phys10th,1x9plus6,1,12.759037688934242
phys10th,2x9plus7,5,32.12263371304833
nophys,25,1,10.550360063828723
phys10th_beam,2x9plus7,1,10.858332386254858
nophys,25,5,22.691967816108097
phys10th_beam,45,6,24.519382814522732
nophys,45,6,28.811860631429234
phys10th,15,7,23.59053156655552
nophys,25,3,17.431219053222655
phys10th_beam,2x9plus7,3,15.664080275181211
nophys,25,6,27.13145538413063
phys10th,15,5,18.330342201026507
phys10th,45,7,19.60082229444553
nophys,15,3,23.72699544295087
nophys,2x9plus7,1,12.080517847062255
nophys,2x9plus7,5,18.395160346666405
phys10th_beam,1x9plus6,6,25.05394390076011
nophys,45,6,22.69924244396204
nophys,1x9plus6,7,41.883531213556545
nophys,25,1,10.741987938389482
nophys,45,7,24.1344747444491
nophys,1x9plus6,6,32.244063591854
phys10th,1x9plus6,7,19.526825569372978
nophys,1x9plus6,3,21.112990110302956
phys10th_beam,15,5,24.536530129295592
nophys,2x9plus7,1,13.87429687433295
nophys,1x9plus6,5,28.756932890611814
phys10th,15,6,18.561019949747408
nophys,2x9plus7,5,28.14812316899877
nophys,2x9plus7,7,40.85387782544618
phys10th,2x9plus7,1,9.795687980697071
phys10th_beam,45,7,22.389483866058868
phys10th_beam,25,6,21.135254890810614
phys10th,2x9plus7,5,21.974237020951925
nophys,25,5,24.771655434988674
phys10th_beam,45,5,17.317980880751932
phys10th,15,3,14.136434280422128
phys10th,1x9plus6,1,10.013451272020408
phys10th,25,5,16.587804423799856
phys10th_beam,2x9plus7,7,26.391959795784402
phys10th_beam,15,7,15.846325516157908
phys10th_beam,1x9plus6,1,10.831348759624927
nophys,15,1,10.235022537405452
phys10th_beam,15,7,23.290096599816586
phys10th,2x9plus7,3,12.864879975288948
nophys,15,6,23.535629007988028
phys10th_beam,15,3,13.021241027883686
nophys,1x9plus6,3,21.255709848842763
phys10th_beam,15,1,10.670375176877148
phys10th_beam,15,1,10.664703298948584
phys10th_beam,1x9plus6,1,10.812822340411262
phys10th,25,6,19.730470448378504
phys10th,25,6,40.17077690812434
phys10th_beam,25,5,20.121591032193773
phys10th,15,1,14.39769313669965
phys10th_beam,1x9plus6,5,25.351203364253628
phys10th_beam,25,3,15.593805503607229
phys10th_beam,15,3,17.929095468982997
phys10th_beam,1x9plus6,5,22.469209415752182
nophys,45,7,29.993173215985543
nophys,45,1,10.924478421675976
phys10th,2x9plus7,7,22.303859923918132
phys10th,2x9plus7,1,14.776464150291897
nophys,2x9plus7,6,21.94991775985367
phys10th,45,5,31.17648653540988
phys10th_beam,1x9plus6,1,12.242714636787484
phys10th,15,1,12.724200684383721
nophys,1x9plus6,1,11.840766219483111
phys10th_beam,15,3,16.609926056538868
phys10th_beam,25,5,27.587245042732583
nophys,1x9plus6,3,15.663129961777955
nophys,15,5,25.95690932164934
nophys,1x9plus6,7,38.51893280487912
phys10th,25,3,24.50842568241172
phys10th_beam,25,7,29.33297928182189
phys10th_beam,2x9plus7,1,11.809724849834618
phys10th,2x9plus7,3,23.838053194325926
phys10th_beam,45,5,22.624428261141762
phys10th,15,3,14.392890106948164
phys10th_beam,1x9plus6,3,19.718851835030893
phys10th_beam,1x9plus6,6,26.1430766015941
phys10th,1x9plus6,6,32.6176043605885
nophys,45,6,26.614671075700823
phys10th_beam,25,6,29.173496726090253
nophys,2x9plus7,5,31.057119948057277
phys10th,15,5,16.872606293608147
phys10th_beam,45,5,24.625172244961114
nophys,45,3,16.959499312171193
nophys,25,7,32.79232770271814
phys10th,25,7,19.408521579572056
phys10th,25,3,14.443657132818874
phys10th_beam,25,3,15.568775778049224
phys10th_beam,15,6,26.21839018430997
phys10th_beam,25,6,23.54320401294483
phys10th_beam,25,1,10.956395032027043
nophys,25,6,21.21421801137573
phys10th,2x9plus7,6,19.86079709703489
phys10th,1x9plus6,6,37.78642562796797
nophys,15,7,26.947580708771408
phys10th,45,1,13.573830912252575
phys10th,45,3,12.539606596218283
nophys,2x9plus7,6,32.1596824867248
nophys,15,5,17.4376813042405
phys10th,1x9plus6,5,26.512731941747262
nophys,45,7,30.539053877727735
nophys,45,3,16.49459778291917
phys10th_beam,2x9plus7,6,23.89520170435292
phys10th_beam,15,5,14.812643560885267
phys10th,25,5,20.027078089844593
phys10th,25,1,14.229523309072269
nophys,25,1,12.66240597054873
nophys,15,6,26.94741231772216
phys10th,25,1,11.79052674947332
phys10th,1x9plus6,3,26.091774137774838
phys10th_beam,2x9plus7,5,21.423043856958362
nophys,2x9plus7,7,24.540108210932896
phys10th,2x9plus7,7,40.750152482206055
nophys,15,1,12.879164336872327
phys10th_beam,45,1,10.466561162276564
nophys,15,6,28.21723446218304
phys10th,45,5,16.535539219808804
phys10th,15,7,17.17660839648954
phys10th_beam,15,7,26.974771659889875
phys10th_beam,2x9plus7,7,26.21517158556795
phys10th,45,6,17.913126518252813
nophys,15,3,16.704877104310402
phys10th,15,6,19.745352520827474
nophys,15,7,25.771316515800628
nophys,25,5,20.11384973992928
phys10th_beam,2x9plus7,6,25.9934513378491
phys10th,1x9plus6,7,44.419707167446425
nophys,1x9plus6,7,26.56171046752478
phys10th,2x9plus7,3,18.451130473741483
nophys,2x9plus7,3,19.964220987854354
phys10th,45,6,35.04932305997314
nophys,1x9plus6,5,30.916794536432967
phys10th_beam,1x9plus6,3,15.991472158410966
phys10th_beam,25,1,10.955231717025695
phys10th,15,5,36.846058590423105
nophys,45,5,23.022682239508875
phys10th_beam,45,6,26.455873435364346
nophys,15,5,21.478028385120002
phys10th_beam,45,7,27.298572384240362
phys10th,1x9plus6,3,20.28297761360858
phys10th_beam,45,3,14.408290555940955
nophys,1x9plus6,6,23.969929644998228
phys10th_beam,25,7,26.526512223178702
phys10th,2x9plus7,6,26.150152631770368
phys10th,25,5,35.06427082386294
nophys,2x9plus7,3,15.221395032700377
nophys,45,1,9.87699470819456
nophys,45,1,12.350885499162617
