Physics,Sections,CFG,Average FID,Maximum FID,Minimum FID,Max Subdirectory,Min Subdirectory,Variance of FID
nophys,sec25,2,116.01466418393845,198.27738465826832,73.80803872141021,8,19,2442.9686846635886
phys,sec25,3,115.16583240382204,204.42306356754565,65.40529944394098,8,19,2807.311256906116
phys,sec25,6,114.21471563933815,181.60358396209847,70.65880522207787,8,19,1668.8229464376818
phys,sec18plus7,5,113.03152868122507,191.76031922103112,88.38105255948037,8,11,1957.9123164449484
phys,sec25,7,114.45365898213504,185.25103708078225,71.76459494218216,8,19,1802.8508295779047
phys,sec18plus7,8,115.50963559006156,181.7536043968821,85.84470073839154,8,21,1757.4120175668213
phys,sec25,8,115.53512916381794,185.1128494515043,75.3979565361996,8,19,1688.044307096272
phys,sec18plus7,6,108.06137303435143,174.6123524216036,89.0341744500275,8,21,1389.4192920591195
phys,sec18plus7,3,112.28994642267757,206.24429034690843,73.93020255804203,8,11,2921.950585000701
nophys,sec18plus7,5,109.27075402501546,176.08019153267438,67.28720945450587,8,19,1690.5107796199136
nophys,sec25,8,114.12772343696656,173.0618206523771,65.55532975813574,8,19,1613.583323121995
phys,sec25,4,115.79440273293463,188.18183990921665,68.02739101955979,8,19,1996.0302929876161
nophys,sec18plus7,4,111.55931572429229,183.46337736999382,65.45317258011245,8,19,1982.146523894151
phys,sec25,2,110.77885336855825,203.4846140162611,67.47044307551201,8,19,2979.0883827626985
phys,sec18plus7,2,107.18143325490743,205.34911801915095,67.55961974995084,8,19,3266.3183308561747
nophys,sec25,1,113.30429335882806,198.07268846752592,77.10297611028923,8,11,2496.514118584495
nophys,sec18plus7,3,114.59868860483077,199.46850001962179,67.61351578351677,8,19,2587.999510294805
phys,sec18plus7,7,108.44112879837444,170.39649464789247,84.78259410964996,8,21,1321.0384014294868
phys,sec18plus7,1,102.33986761891097,191.09165479807083,64.18687411927567,8,11,2705.946667804619
nophys,sec18plus7,7,109.37294439534887,178.6442706614761,65.39907737871346,8,19,1781.2965407532138
nophys,sec25,7,114.66533266849872,170.913658826656,62.77242420406929,8,19,1602.5590293810637
nophys,sec25,3,118.78673751896949,181.82921854738143,64.10380093843936,8,19,1822.2821065343123
nophys,sec25,6,111.47310961997523,178.8615337655692,59.50788083455747,8,19,1905.6290010726334
nophys,sec18plus7,8,103.56893556854511,163.35930441060373,69.32110318995112,8,19,1274.874570218728
phys,sec25,1,108.6473337342663,204.45441029918587,69.0003816122501,8,3,3203.558074625784
phys,sec18plus7,4,113.41273664671033,196.56032925870744,80.03352141855103,8,11,2240.670660238544
nophys,sec25,4,115.36897883968587,183.1677858235146,62.8930754150776,8,19,1962.6250439610922
nophys,sec25,5,117.65698071731603,180.84445717788103,60.47394480379049,8,19,1867.1321849585256
nophys,sec18plus7,2,112.67750378384713,201.23361051384538,66.24296347102796,8,19,2835.1306530696547
phys,sec25,5,112.75681545113927,186.37159597949298,69.85511949838408,8,19,1904.6089474643686
nophys,sec18plus7,1,110.47039075060584,213.4397542836504,68.37230248143794,8,11,3578.600235929209
nophys,sec18plus7,6,112.58288913711252,179.32850890101074,66.77949145134392,8,19,1857.3128031011292
phys,sec20,3,112.91901154218007,203.64358817777128,64.2354083961447,8,19,2897.651525435309
nophys,sec9plus6,3,113.94467358640755,187.34637149109633,67.53967633291799,8,19,2062.198565675588
phys,sec20,1,107.26115964546969,210.23539936450976,68.3037894430039,8,11,3553.918011812868
nophys,sec9plus6,2,112.22562683074177,193.15090138282451,68.41865364295113,8,19,2340.94065025296
nophys,sec20,5,115.81236841244367,190.90035329322436,76.3793094469969,8,19,2012.2658683608352
phys,sec15,7,119.96708135394879,198.6144323210071,86.14667784458035,8,3,2050.734064162858
phys,sec9plus6,7,121.92311680700993,183.34071081535063,88.70678480986635,8,21,1899.4731423422381
phys,secincr20,5,119.01733882293365,196.82853140711208,78.62801885143416,8,19,2234.8285086513097
nophys,sec9plus6,5,108.88640724978771,185.8915612348666,65.76426084082797,8,19,2099.744410166675
nophys,secincr20,7,113.95471241771975,172.40606266222267,74.61432224809171,8,19,1458.1116204549799
nophys,sec20,6,114.37911931174494,201.26761041554835,71.58429947302744,8,19,2560.1784808944067
nophys,sec15,4,118.28907662544054,193.5560306945819,60.34454755921547,8,19,2380.4240232625634
phys,sec20,6,113.87534038756826,196.059911986408,69.84348068025974,8,19,2373.682171222914
nophys,secincr20,4,116.04275154028942,187.12843647246578,70.42891512998973,8,19,2027.2197600532709
phys,sec20,4,114.07542984250043,201.56918960380872,69.15207037554421,8,19,2697.6503918851486
phys,sec15,2,111.8360707974028,205.29237943509887,72.39501167735634,8,19,3042.338934387093
phys,sec9plus6,4,109.68450753190291,195.56350393250875,82.29587354177116,8,19,2322.5054344951277
phys,secincr20,6,113.4307920359162,189.83592417177454,76.51337225192076,8,19,2068.6031147253652
phys,sec15,3,117.27201676024065,211.32801010158127,66.6713461235999,8,19,3090.7192220393736
nophys,sec20,4,115.1037078365875,199.68015828979222,64.49141004733168,8,19,2599.5671947610026
nophys,secincr20,1,110.94290905015285,203.20392585163805,70.74709146884015,8,11,3022.5608873058536
nophys,sec15,8,106.51402930992997,186.39316435783306,67.69582819777526,8,19,2250.097327774238
nophys,sec15,6,109.90900276911069,181.48887263929026,60.73658195303894,8,19,1954.2989881138801
phys,sec15,1,109.47908160256961,212.81793362049672,63.06635833920508,8,3,3650.3503130293284
phys,sec9plus6,2,108.4089784072512,203.47032446466127,71.74261149960705,8,19,2979.8881490184976
nophys,secincr20,3,113.74168060197731,184.41002220811018,67.79889347653484,8,19,2071.6892726002025
nophys,sec9plus6,8,102.77969749977694,172.57654468771108,71.41780285442584,8,21,1673.7317538964944
phys,secincr20,4,113.5081387839053,202.44240645870758,70.40372743672646,8,19,2854.0424489491415
phys,sec9plus6,5,110.38103139207854,169.82193305820505,86.7255674628516,8,3,1199.6304847524152
nophys,sec15,7,105.63587940689702,176.19426558656914,59.2284251132138,8,19,1902.3512249533123
nophys,sec20,8,113.33264772055986,195.98196270936475,78.24911802669801,8,19,2306.94800713909
phys,sec20,8,112.35837879017477,183.3616709505096,72.613734953378,8,19,1739.1136979629518
phys,sec20,2,109.86003067447321,198.4281026408757,73.81972468089086,8,11,2686.5070270075867
phys,sec15,5,114.6790794393462,199.55561497654577,82.58638776268444,8,19,2342.8559209666855
phys,secincr20,7,114.21135866859795,191.54894549966596,76.6675552756325,8,19,2039.6128612480006
phys,sec15,6,118.1647468409257,202.30203263847733,82.37991924444077,8,19,2327.4819401078857
nophys,sec15,5,114.64945918324558,192.95038846689354,61.91043208550259,8,19,2367.2920794784877
phys,sec20,7,114.68019071728918,187.833521475194,75.6179547644785,8,19,1938.6375159330491
phys,sec9plus6,8,117.81560156960047,170.7921755732088,80.13743469358288,8,21,2071.172534372585
nophys,sec20,1,115.05680533177292,209.20896060472435,71.34832984401604,8,11,3254.148201472992
phys,secincr20,3,111.2492562551715,198.25358470372416,71.06664633739459,8,19,2713.0300036917542
nophys,sec9plus6,1,110.84557791519225,211.08008778173559,67.94206417597647,8,3,3428.4041011017653
phys,sec15,4,114.39703703274847,193.84212536989622,73.72896594659498,8,19,2148.7858360781393
nophys,sec20,3,119.10227376611037,195.0947816361366,71.42899269164516,8,19,2215.000427361374
phys,sec15,8,115.33162037150596,187.86571403412026,86.23051743092523,8,3,1691.8143681945621
phys,secincr20,2,109.78846349756535,215.42545583964434,64.32267047522842,8,11,3735.8908625155127
phys,secincr20,1,113.3243284688421,210.95217932240467,64.48781146443865,8,11,3404.218534253556
nophys,secincr20,5,114.14436750191597,175.88836544957192,63.95670202575468,8,19,1762.4458015768032
nophys,sec20,7,114.44580007788548,192.5396817541369,83.47374691865224,8,19,2026.2076510809638
phys,sec20,5,114.65155040171933,180.91288616756532,73.89883002760078,8,19,1663.8167739510063
nophys,secincr20,8,108.34233886643142,167.82996009200514,71.58239897061958,8,19,1356.5512718405535
nophys,sec9plus6,7,104.38118388215506,179.92486425583618,66.84395723435122,8,19,2000.481972431704
nophys,sec9plus6,4,109.73734420031644,181.56222920508426,65.25342345388614,8,19,1929.5168428607285
phys,sec9plus6,1,108.45852238167879,210.1428586579018,65.6511967790706,8,11,3530.6078695943725
phys,sec9plus6,6,117.1176590120809,185.73406953830005,81.84036809655532,8,11,2131.289154952272
nophys,sec15,2,114.68764732365007,195.17994714160682,73.16864759285842,8,19,2284.086460002265
nophys,secincr20,6,111.59909165142373,172.83788023545284,65.60771011098288,8,19,1601.2399628206222
phys,secincr20,8,112.788940232492,197.52267761538644,82.35135696311187,8,19,2425.8506719995457
nophys,secincr20,2,115.76578155512838,193.86383924793586,76.2326881997815,8,19,2296.879316300103
phys,sec9plus6,3,110.79404669304886,196.90204500339945,75.87019645054178,8,19,2436.319927218339
nophys,sec9plus6,6,107.25424454713318,176.93325742555874,66.5505006173527,8,19,1805.0396139278182
nophys,sec15,1,107.37153424388028,199.511426109929,72.90925610536473,8,11,2779.4657005339413
nophys,sec20,2,118.68332386709827,213.35918038181842,73.24062278150555,8,19,3115.282380092136
nophys,sec15,3,114.6253132462358,188.89461924622745,69.41619018261646,8,19,2015.0917304931827

