Physics,Sections,CFG,mse,var_diff
nophys,sec9plus6,3,tensor(4534.8247),57.81812955373658
nophys,sec25,2,tensor(1356.5707),47.27734830207877
nophys,sec9plus6,2,tensor(5597.3486),46.41207212946328
nophys,sec20,5,tensor(316.5995),24.367290111729982
nophys,sec9plus6,5,tensor(6696.6152),59.908038179493424
nophys,secincr20,7,tensor(2002.1628),70.22757025011096
nophys,sec20,6,tensor(119.6989),26.328107323566677
nophys,sec15,4,tensor(3998.8530),46.83699311255977
nophys,sec18plus7,5,tensor(1278.0460),44.020329721916205
nophys,sec25,8,tensor(3011.8057),75.48880782673507
nophys,secincr20,4,tensor(5444.1055),47.96107317128836
nophys,sec20,4,tensor(383.4147),31.8800611655709
nophys,sec18plus7,4,tensor(1410.6166),44.65957507594995
nophys,secincr20,1,tensor(1445.8140),45.02570629335733
nophys,sec25,1,tensor(1056.7688),46.28403355817333
nophys,sec18plus7,3,tensor(3141.2976),44.95768427643748
nophys,sec15,8,tensor(1928.7819),57.51135563364716
nophys,sec15,6,tensor(1706.1116),58.4200860813982
nophys,secincr20,3,tensor(2404.5464),45.916265063719706
nophys,sec9plus6,8,tensor(2511.8396),79.49234200819092
nophys,sec15,7,tensor(2202.9705),50.79265341320529
nophys,sec20,8,tensor(76.5760),14.869131140926942
nophys,sec18plus7,7,tensor(1250.0847),44.39860238333858
nophys,sec25,7,tensor(3921.0562),58.230187419098726
nophys,sec25,3,tensor(3340.8501),51.15065203451257
nophys,sec15,5,tensor(1941.8733),42.14258722915753
nophys,sec20,1,tensor(494.3981),39.26314659688526
nophys,sec9plus6,1,tensor(1464.0486),48.649094070013206
nophys,sec25,6,tensor(6534.8369),76.52680842830024
nophys,sec20,3,tensor(969.5464),38.02546256718564
nophys,sec18plus7,8,tensor(909.3159),49.03818119959144
nophys,secincr20,5,tensor(2675.2632),47.50594895908119
nophys,sec20,7,tensor(52.2247),17.62470847354749
nophys,sec25,4,tensor(2676.8096),48.78518859117265
nophys,secincr20,8,tensor(2874.9761),65.54180746566337
nophys,sec9plus6,7,tensor(2714.4041),71.16274080151288
nophys,sec9plus6,4,tensor(2810.4321),63.34570080406151
