Physics,Sections,CFG,mse
nophys,seccos20,3,183571369.25
nophys,sec10,1,143035378.4
cosinesched,sec20,5,2651670046.8
cosinesched,sec30,8,2521640055.525
cosinesched,sec30,1,1902987028.0
cosinesched,seccos10,4,4111319643.4
nophys,sec30,3,245874319.15
nophys,seccos25,3,277785492.675
nophys,sec30,6,971126724.0375
cosinesched,sec30,4,2020264102.4125
cosinesched,seccos20,6,3347643106.15
cosinesched,seccos25,6,2494472547.13125
cosinesched,seccos20,5,3389675201.06875
cosinesched,sec15,3,3092022798.2
cosinesched,sec25,3,3337543902.4
nophys,sec20,6,1662721664.5
nophys,seccos20,8,802288022.025
nophys,sec10,5,29793110.0
cosinesched,sec25,7,4876677206.075
cosinesched,sec20,6,2812840457.3125
cosinesched,seccos10,2,3363573418.4
cosinesched,sec15,2,2689320801.6
nophys,seccos30,3,616999758.175
cosinesched,sec15,5,3961842606.825
cosinesched,sec15,4,3591877772.2
nophys,seccos10,1,122694283.1
cosinesched,seccos10,1,2880919264.8
nophys,sec20,2,86652877.85
cosinesched,seccos20,3,2697182225.7125
nophys,sec20,3,308359208.8
nophys,seccos30,1,86469666.4
nophys,seccos25,2,49436737.55
nophys,seccos25,7,924996030.575
cosinesched,sec15,6,4121680299.00625
nophys,seccos15,5,636181408.4
nophys,seccos30,4,1054395577.95
nophys,sec10,6,190776926.6
cosinesched,seccos15,1,2677997672.8
cosinesched,sec20,4,2311845955.6
cosinesched,seccos25,2,1949057652.6
nophys,sec15,6,1495776220.95
cosinesched,seccos15,3,3017894648.1125
cosinesched,seccos25,3,1899144565.45
nophys,seccos30,5,1333480071.2
cosinesched,sec25,1,2469497792.0
nophys,sec15,4,1249915326.9
nophys,sec20,8,1052559803.8
cosinesched,seccos30,2,1984730244.6
nophys,sec25,6,2643270866.65625
nophys,seccos15,2,30033524.8
cosinesched,sec30,5,2126832739.2125
cosinesched,sec20,1,2352563793.0
cosinesched,seccos20,7,3596943287.65
cosinesched,seccos15,5,3366818472.3
nophys,seccos10,8,125886875.35625
nophys,sec10,3,40705195.7
cosinesched,seccos30,7,3028279433.475
nophys,seccos10,4,910427479.2625
nophys,seccos20,1,78924026.4
nophys,sec15,8,216421269.0
cosinesched,seccos30,8,2789905850.16875
cosinesched,sec10,5,6760848786.2
nophys,sec15,2,181650830.934375
