Physics,Sections,CFG,mse,var_diff,FID
nophys,seccos20,3,10298.926882934571,51.632358310772815,104.8128925498775
nophys,sec10,1,15204.96357421875,42.821726418887444,103.8504553302917
cosinesched,sec20,5,54956.34926757812,52.042614547579305,102.44273555758484
cosinesched,sec30,8,88693.79758605958,63.89965875319119,101.48496499686016
cosinesched,sec30,1,25046.907421875,56.486997485543455,95.4454513625083
cosinesched,seccos10,4,53341.3310546875,45.75079712788725,104.83062617095338
nophys,sec30,3,12527.659857177734,39.74662324322783,112.15292625191296
nophys,seccos25,3,14071.546594238282,54.365754518238916,100.91514147974051
nophys,sec30,6,49604.67751617431,64.14740785676943,108.00337673882984
cosinesched,sec30,4,47997.011328125,75.2923290956796,106.58674046699169
cosinesched,seccos20,6,79450.07727050781,43.30738615332094,101.2860842223068
cosinesched,seccos25,6,56623.04485778809,38.515152127102525,99.39674437751722
cosinesched,seccos20,5,55927.05358886719,37.53134788212976,104.18798941967479
cosinesched,sec15,3,49998.3634765625,62.391175563972446,108.9505300041111
cosinesched,sec25,3,64116.69777832031,54.736376241625194,106.47193837503796
nophys,sec20,6,83099.72766723632,50.08439693699546,107.13331729513627
nophys,seccos20,8,58423.69689941406,84.00050099429771,100.18953263755118
nophys,sec10,5,4868.57123336792,88.33356220323446,102.68118506234036
cosinesched,sec25,7,158490.05626220704,45.012100448046866,105.21247244677313
cosinesched,sec20,6,60631.893359375,39.175753722060215,101.60416570119612
cosinesched,seccos10,2,37921.856640625,50.259755132251044,108.28532945030686
cosinesched,sec15,2,43426.953125,63.31734465772761,110.95611953113664
nophys,seccos30,3,34871.531675720216,34.21111297476451,111.21824567201365
cosinesched,sec15,5,66443.64494628906,42.60424622091829,103.74910535016606
cosinesched,sec15,4,105917.8771484375,59.79640190364049,106.47040854731759
nophys,seccos10,1,8756.64609375,51.94037210546569,104.15453437847036
cosinesched,seccos10,1,38340.189135742185,53.64772567193104,96.20918252553432
nophys,sec20,2,4366.070520019532,53.33571855169559,110.46178981123646
cosinesched,seccos20,3,38496.254638671875,52.13256403572977,105.26115427100629
nophys,sec20,3,16937.93868408203,49.59082989409454,113.61295744080398
nophys,seccos30,1,6159.979760742188,56.39939735061223,107.19097378114611
nophys,seccos25,2,2901.7128662109376,42.983421321718495,104.89391702267912
nophys,seccos25,7,44804.15208816528,128.56004524727035,99.1780895502163
cosinesched,sec15,6,93180.57523193359,49.28285370742743,104.35985790547757
nophys,seccos15,5,31755.884963989258,41.4521509490457,105.69462860691672
nophys,seccos30,4,59051.83076171875,33.782771504787185,100.8085862566481
nophys,sec10,6,18554.70079498291,85.36145302470136,107.3568340181017
cosinesched,seccos15,1,22473.072265625,54.2069209513319,99.61050734473822
cosinesched,sec20,4,41559.54345703125,54.30517434223793,104.16684769116748
cosinesched,seccos25,2,23265.590087890625,48.22267890475782,108.00159089533626
nophys,sec15,6,77319.39594345093,144.64405626617432,100.60099979057496
cosinesched,seccos15,3,77860.22856445312,47.31998094808172,107.45451043664073
cosinesched,seccos25,3,28682.9787109375,46.688714037823004,102.52705300748532
nophys,seccos30,5,69151.12248535156,31.156826596340323,99.71011662271012
cosinesched,sec25,1,39298.45639648438,57.91845936745142,94.95447444456093
nophys,sec15,4,67028.58119659424,58.784519833475386,101.14536823364338
nophys,sec20,8,51832.41130065918,125.1325289705782,107.09431854756762
cosinesched,seccos30,2,28010.158984375,61.16577655229979,106.7656731862714
nophys,sec25,6,152500.06872253417,58.17967308096896,96.9858252760151
nophys,seccos15,2,3561.9406616210936,49.406542125850095,105.10693813521229
cosinesched,sec30,5,56719.27783203125,58.39208216110278,104.35728633539368
cosinesched,sec20,1,30871.9166015625,61.53469862528474,97.93497078844534
cosinesched,seccos20,7,79040.29297180175,61.24969258172208,102.59483339606886
cosinesched,seccos15,5,52685.458984375,40.55918497058368,98.4324634152492
nophys,seccos10,8,12543.54370803833,42.917744363591055,104.24822696184738
nophys,sec10,3,3148.6898651123047,55.8430043058966,102.57644153713184
cosinesched,seccos30,7,80960.54602050781,34.38971177945909,102.3907827738587
nophys,seccos10,4,48243.81000976563,24.822898312752805,100.69628479919763
nophys,seccos20,1,9998.16376953125,47.72948180528651,103.20618483920983
nophys,sec15,8,9971.402459716797,223.75991826868017,106.40836446352837
cosinesched,seccos30,8,86631.96627349853,33.66167641030673,103.35515743965252
cosinesched,sec10,5,86382.6060546875,51.256079176429225,107.56445788158071
nophys,sec15,2,10137.103332519531,45.88940668903539,106.06471647461562
cosinesched,sec10,3,65089.33701171875,66.22168132595316,109.49203771870182
nophys,seccos20,4,30072.31900024414,53.275938878550825,99.79632351145709
nophys,seccos15,3,9301.712420272826,53.05940533088659,106.31861740261252
nophys,seccos10,6,53951.917472839355,32.65328380981855,100.038390685376
nophys,sec20,4,35147.01166992188,59.11287011269485,113.43027407581235
cosinesched,sec25,2,46795.39829101563,56.86789894189707,108.97524534415682
cosinesched,seccos10,3,45339.18212890625,51.17462027321913,111.89467847440838
nophys,seccos15,7,27093.24948730469,74.21221864063882,105.70278602215176
nophys,sec10,8,41351.71164855957,183.45986494317359,116.00792662155814
nophys,seccos30,2,7318.646179199219,38.74994370760017,104.17853050101726
nophys,seccos10,7,30685.40162811279,34.02060375539024,100.30211409605532
cosinesched,sec30,7,79259.10366821289,61.871654733180506,103.56256119635341
nophys,seccos15,8,17832.70673751831,93.95982170441457,104.55340813415953
cosinesched,seccos20,4,58154.599670410156,44.52119712835067,103.13089245962492
nophys,seccos30,8,51984.23489685058,40.12585031259333,103.9886026436169
cosinesched,sec20,2,34830.737890625,69.83640707079353,98.80651205049564
nophys,sec30,1,11681.851586914063,52.31679348835429,108.09853553114718
nophys,sec15,3,38000.952209472656,50.47768751313866,101.94960165134844
cosinesched,seccos15,4,39315.72001953125,49.84582681107024,103.13863274551939
cosinesched,sec30,6,63138.112292480466,49.059005973066824,100.85473159661728
cosinesched,sec25,5,106811.13463134765,57.88466908052849,105.49807186268936
nophys,seccos10,5,61222.399401855466,28.31214680375941,96.89786027513546
cosinesched,seccos30,3,39662.2822265625,49.28239974275529,104.61618100476005
cosinesched,sec25,8,143796.1211517334,41.43664109639817,103.5956922686079
nophys,seccos25,6,79880.59882736206,72.97376785292741,101.03322466982493
cosinesched,sec10,2,87369.85234375,68.89971484812013,108.61636511626743
nophys,seccos20,2,5215.809130859375,49.322760388218526,104.60879129782116
nophys,seccos20,7,68964.32849731445,78.62858267710773,103.69415838270166
cosinesched,sec10,8,118622.79230957032,73.59726938518517,114.90050546496408
nophys,sec30,7,60884.11594390869,78.87049271982508,111.23491282797693
cosinesched,seccos30,1,26097.073974609375,48.754451808719445,101.96860220303674
cosinesched,seccos15,6,66200.03823242188,42.079688332039055,100.231080688795
nophys,sec25,2,10034.716021728516,48.70755106692226,106.32241630496276
nophys,sec25,4,84754.30208435058,42.15317894388759,100.24015351996397
cosinesched,sec20,3,48734.241015625,60.639274685802434,102.11114883237087
nophys,seccos20,6,68969.64031524658,67.7038065128053,97.75331502760528
nophys,sec25,7,178364.73457946777,48.09701122038218,101.69607045491153
nophys,sec30,4,22556.772863769533,51.196749927790414,108.25980964341504
nophys,sec30,8,55121.77679748535,86.6913737138899,114.950664316139
cosinesched,sec10,6,95495.36708984376,62.952949347021445,111.9384736511718
cosinesched,sec20,7,72654.65753173828,41.07241220416104,103.10656223793175
nophys,seccos15,1,12750.036572265624,53.019836097128845,102.5780685125175
cosinesched,sec30,3,46029.57685546875,71.63864193076981,107.44039743817663
cosinesched,seccos25,1,28654.88974609375,52.22831577570148,99.3359017875255
nophys,sec10,7,32894.50106964111,150.75172187609982,113.57549023775584
cosinesched,sec25,4,88956.4107421875,50.166124416327975,108.26886549534429
cosinesched,seccos25,8,67556.4024673462,68.26716239805299,102.52044296050126
cosinesched,seccos25,5,59089.23352661133,44.37234997910158,101.75159135320844
nophys,sec20,5,50356.11891021729,62.91242358220762,107.90275337824141
nophys,sec15,7,58099.15999069214,183.7042049374632,102.1991279640149
cosinesched,sec20,8,84052.07849578858,34.59647858471577,105.85228748055238
nophys,seccos30,6,82522.38563385009,25.04471998555067,98.38673842789237
cosinesched,seccos30,4,46513.50446777344,54.66319884240913,104.4239891096649
cosinesched,seccos30,6,79720.35409545898,37.0572447779186,101.23297342211029
cosinesched,sec10,4,83542.44580078125,63.4660709965878,107.5474582642034
nophys,seccos25,1,14287.685107421876,47.31674952863089,103.94042627674992
nophys,sec25,1,5473.290673828125,56.16765135485125,102.47863450357787
nophys,sec15,1,7437.791015625,51.63684323253064,106.15930097985611
cosinesched,sec10,1,50426.3017578125,62.410999360370056,97.06709420476612
nophys,seccos10,3,25918.157983398436,34.4978741012399,104.36913688826424
cosinesched,sec25,6,126537.22694091797,37.69701594443653,105.59631462011876
cosinesched,sec10,7,208898.555859375,68.93595965420317,104.98390331867093
nophys,sec10,4,3653.8031677246095,59.72372433218343,103.28232946789099
nophys,sec20,7,92069.72385406494,82.26527532506215,105.59910912742285
nophys,seccos30,7,67755.08411865235,36.11496605413082,101.54898522833471
cosinesched,sec15,8,112533.42163276672,31.90434797594266,109.713968057486
cosinesched,seccos15,7,80392.94967041016,30.313026190410522,101.47533142750348
nophys,sec25,8,144648.6169631958,88.40219140714498,98.74072547826525
nophys,sec25,3,42473.233489990234,59.943084387569094,106.17015872947343
cosinesched,seccos20,2,25178.50859375,47.523407237832465,107.013322108508
cosinesched,seccos10,8,172543.85622863768,36.438202713297244,102.96911871508182
nophys,seccos10,2,6787.622607421875,34.39754440793945,106.44487940255767
cosinesched,seccos25,4,46532.483666992186,41.16456203533674,105.1765039910758
cosinesched,sec15,7,109355.034375,48.80656434922554,108.03544751498544
nophys,seccos15,6,27603.579423522948,47.579774860619736,103.90295926469011
nophys,seccos20,5,70408.44841003418,58.776064781323896,99.12055210392137
nophys,seccos15,4,22352.943588256836,35.831991516735016,104.84714539381991
cosinesched,sec15,1,32124.435498046874,51.50743339672847,98.46051806443286
cosinesched,seccos10,5,62263.26208496094,38.19029948528394,103.15547047337857
cosinesched,sec30,2,37905.47229003906,59.078179260229206,104.81091127413254
nophys,sec15,5,98636.15626602173,76.96922505264581,99.18012082912347
nophys,seccos25,8,57748.10453491211,130.47615781088217,102.00195371093042
nophys,sec20,1,9099.113671875,52.77134223885156,106.50073865829532
nophys,seccos25,4,35168.458932495116,62.19757956559378,98.1639934315671
nophys,seccos25,5,53962.206243896486,57.52923137749407,97.18916619869904
nophys,sec30,5,40190.83833312988,54.86493278365045,110.0616292663909
nophys,sec30,2,3496.722380065918,43.199768971216955,108.35376093055186
cosinesched,seccos25,7,64733.610078430174,37.64398071693852,102.63746033213965
cosinesched,seccos30,5,61544.92020263672,40.58351649665131,102.91148935364772
nophys,sec10,2,6816.877578735352,46.592035335800304,110.19415339042064
cosinesched,seccos10,6,75467.03125,34.23051254843321,102.67281942097127
cosinesched,seccos20,1,17115.5974609375,49.47711225587043,100.98921729751933
cosinesched,seccos15,2,40774.2185546875,53.18745328804264,103.53660325260557
cosinesched,seccos15,8,109451.53482666015,44.66985553260173,101.49172351955978
cosinesched,seccos10,7,99013.43795166016,30.955544487069524,104.32358074265645
cosinesched,seccos20,8,84655.5337524414,48.751964990307286,102.5200154942585
nophys,sec25,5,120567.13446044922,48.89794002426383,97.42109436879487
