Physics,Sections,CFG,mse,var_diff,FID
oldphys10th,secsig10,4,56557.867248535156,53.7351490354107,105.93949029784002
oldphys10th,sec20,2,5404.59814453125,76.02162222380737,109.4699848766654
oldphys10th,secsig20,1,13370.558251953125,74.48906866493243,100.50361427069006
oldphys10th,secsig15,8,44710.655212402344,28.77784644005668,116.49494505201741
oldphys10th,secsig30,1,8362.378686523438,60.67476852480131,97.48227402225717
oldphys10th,sec10,4,11640.839764404296,76.65904989427716,119.15623907407942
oldphys10th,sec25,4,63489.42241210937,131.15007828589478,100.37711155296162
oldphys10th,secsig15,5,14856.202752685547,57.753638540141786,109.31535934030835
oldphys10th,secsig25,2,4353.933154296875,69.17749129545555,101.23442011207617
oldphys10th,sec10,2,7197.443280029297,70.96111574448848,111.95454439781152
oldphys10th,sec30,4,2506.597442626953,92.12395924427506,110.89946354387901
oldphys10th,sec25,1,12942.9177734375,77.6608628320636,95.07583623157765
oldphys10th,sec15,1,7548.04228515625,71.61431601492629,103.52273626205238
oldphys10th,sec30,1,9251.287841796875,84.53385440725725,101.82154921176246
oldphys10th,sec20,5,4489.13911743164,97.34107885976738,113.53481442001684
oldphys10th,sec10,1,7518.74013671875,74.12108616237924,102.42279856867222
oldphys10th,sec10,5,15632.616084289552,79.20875163554207,123.35006219248149
oldphys10th,secsig30,7,65091.99418334961,94.58076745038325,105.3308630486099
oldphys10th,sec15,4,13281.745324707032,165.34477501270484,112.13547578850655
oldphys10th,secsig15,4,7398.454354858399,64.80404897525237,109.04723777963429
oldphys10th,sec30,6,9342.008005142212,99.06991614946249,120.00223558042622
oldphys10th,secsig10,1,15490.7380859375,59.406401115665474,101.53226625526096
oldphys10th,secsig10,6,73564.13056640625,44.460356329835165,103.13577255628749
oldphys10th,secsig10,5,79830.19249267578,55.799547590596,102.3417354461067
oldphys10th,secsig20,6,114500.29831848145,76.82708481502826,99.33555349269054
oldphys10th,secsig15,3,3936.23896484375,85.02145613450523,105.1394896185071
oldphys10th,secsig30,6,51174.439151000974,94.11184102908194,101.60442610515335
oldphys10th,secsig15,7,37625.30625686645,33.03510920272696,114.79625459468294
oldphys10th,secsig20,2,9614.8072265625,79.3617673194157,101.96227017067307
oldphys10th,secsig25,1,6842.388671875,72.91121146217645,99.58065155397023
oldphys10th,sec25,8,14070.469063949586,237.88251367009852,109.98819966577771
oldphys10th,sec30,5,4188.690264892578,103.43252910934984,116.2971452809306
oldphys10th,secsig30,3,14193.094201660157,74.93530942155374,105.70354356880443
oldphys10th,secsig25,5,28539.694354248048,127.48622556780008,104.17328434922601
oldphys10th,sec15,6,5745.485917663575,227.0347557967691,111.626444194553
oldphys10th,secsig10,7,46353.338806152344,59.10709356791515,107.87930791354938
oldphys10th,sec30,7,6391.467972564697,129.9689415395478,121.74033292967457
oldphys10th,sec25,2,14622.18662109375,107.23887116237577,103.47110784025219
oldphys10th,secsig30,5,32629.644454956055,77.29982973179467,103.73016692167282
oldphys10th,sec25,3,20425.659521484376,128.2186287030007,104.18892986511942
oldphys10th,secsig25,4,5842.421252441406,106.48476496011692,107.25001733110972
oldphys10th,secsig20,4,72924.84353027344,64.44071705664281,103.06070562820568
oldphys10th,sec20,1,11217.9390625,75.15446155907517,96.44867028886253
oldphys10th,sec30,2,6547.586254882813,79.61995974588417,105.16924027525121
oldphys10th,secsig25,7,17121.74416503906,146.8124332844538,108.44280818928537
oldphys10th,secsig25,6,10623.635360717773,144.67881125632306,107.69597752617226
oldphys10th,secsig30,4,27945.4352355957,83.78078908048963,102.64082469584778
oldphys10th,sec25,6,15586.839474487304,232.86507862477157,100.07479775578705
oldphys10th,sec15,5,8540.884606933594,190.2114509271233,110.332990643547
oldphys10th,secsig25,3,8412.029345703126,90.12797271123232,107.11987811343343
oldphys10th,sec15,8,11789.043284225463,136.235250684552,122.81122528451814
oldphys10th,sec20,6,11474.455847167968,85.33186511965518,114.61225622868146
oldphys10th,sec10,3,7360.9139404296875,77.00164232734599,113.73080844508408
oldphys10th,secsig30,2,5189.875720214844,67.23850911640886,98.88720084014196
oldphys10th,secsig10,3,41951.13076171875,59.919543037324125,105.61201885080622
oldphys10th,sec10,7,18270.325218963622,94.47287718591045,125.24813015288598
oldphys10th,secsig15,2,4168.207275390625,77.72265637976291,104.92794866520349
oldphys10th,sec15,7,4523.9397644042965,206.42252787048164,118.98590666867467
oldphys10th,secsig10,2,20557.223046875,63.076343918157974,108.8533325361681
oldphys10th,sec30,8,21009.762634277344,96.70381579314167,123.89729660914074
oldphys10th,secsig20,5,93588.96757507324,62.19015692540131,101.28319200134311
oldphys10th,sec20,8,30085.20570983887,58.38655545581206,119.59914951496107
oldphys10th,secsig20,8,100703.68982696533,71.20686118192694,109.39993047473777
oldphys10th,secsig15,6,25011.393436431885,42.66743702209006,107.26767800488146
oldphys10th,sec10,6,19619.756510162355,78.24702533552406,131.38019235988344
oldphys10th,sec10,8,18800.55854949951,108.6837564975228,121.53154724216638
oldphys10th,sec20,4,3701.319625854492,93.44155046543827,112.61020663811458
oldphys10th,sec15,2,7414.767333984375,95.0746077558766,107.17375204967092
oldphys10th,sec30,3,4750.588709640503,81.31304487720271,115.25292204533125
oldphys10th,sec20,3,3259.885363769531,90.70187527233927,110.70081065009353
oldphys10th,secsig30,8,37701.98935623169,130.6308701231899,106.59745470814565
oldphys10th,secsig25,8,7330.020148468017,174.5243873096348,111.1798571989174
oldphys10th,secsig10,8,22803.89006652832,73.79011589188057,115.85663022770181
