Physics,Sections,CFG,mse,var_diff,FID
phys,sec9plus6,2,7460.962414550781,16.80062407763897,113.20227947622584
phys,sec18plus7,6,5882.4776412963865,21.31634779812297,109.28342619605948
phys,sec9plus6,8,10851.95334968567,37.9682532112814,111.38177930549332
phys,secincr20,7,35915.25802192688,20.571652573423307,117.91728336246888
phys,sec25,8,10690.849459838868,42.585921955469814,114.21304368165934
phys,sec15,4,15355.703677368165,14.276127475714281,122.44187966927807
phys,sec9plus6,5,6157.702526855469,14.798126410087388,106.77189759637554
phys,sec18plus7,3,4597.3106590271,15.455479697076091,109.6036860815555
phys,secincr20,6,39134.02617492676,31.896082552488316,117.33045016327564
phys,sec9plus6,4,4758.529320335389,16.9333518665805,104.67349274457642
phys,secincr20,1,14161.675415039062,19.872446771591363,118.22701224346034
phys,sec20,2,6584.325094604492,18.847935752826082,124.58676238894134
phys,sec20,7,8514.215282821655,26.130653050207826,121.57406377963787
phys,sec15,7,17376.196910095216,20.227344270177973,118.34456244937246
phys,sec15,2,5066.584967041015,14.39276612246501,123.19068232933527
phys,sec25,5,22455.936082458495,18.864785476902973,111.57401646982478
phys,secincr20,4,18586.816796875,25.87909023961321,124.25829956537356
phys,sec18plus7,7,6670.931201934814,31.566276334439966,114.41174220294765
phys,sec9plus6,7,6038.591563415527,34.116774073464214,107.24705017636556
phys,secincr20,8,34949.03617095947,40.33830466837289,125.64303946279219
phys,secincr20,3,7804.753430175781,21.064479609491674,123.15281949528053
phys,sec25,7,10994.969708251952,41.640208432810866,112.00540572765946
phys,sec15,3,5670.997283935547,13.33961481356755,122.65323342871923
phys,sec9plus6,1,15461.792236328125,19.853427553002064,111.08039989277263
phys,sec18plus7,2,7300.191552734375,17.905698170568623,114.33375521889768
phys,sec9plus6,6,4895.317097473145,22.898819745633745,103.47385103041663
phys,sec20,5,9431.097241210937,15.645585481279426,119.36694407850273
phys,sec9plus6,3,4582.676745605469,14.694073611678274,112.53634495613821
phys,sec15,5,12727.437863159179,26.190564238989406,117.55364049901141
phys,sec25,6,15042.743521118164,30.028743497787808,108.725136391864
phys,sec18plus7,1,15153.614074707031,19.013804452093314,112.88984046072673
phys,sec18plus7,5,5003.228839111328,18.28190666890103,107.36011624670246
phys,sec20,1,14247.515686035156,18.39501831189506,116.44894125535691
phys,secincr20,5,31898.43095703125,25.307939457346464,120.1738378653561
phys,sec25,4,8375.560119628906,25.92689825795272,114.56628419427247
phys,sec25,3,5194.768049621582,16.902257625992046,113.53563432025996
phys,sec25,2,4443.815014648438,23.399918109682204,119.46887635752591
phys,sec15,6,12566.446603393555,36.28524888323867,119.22327535144734
phys,secincr20,2,6497.396105957031,20.588533549560346,123.05295276114036
phys,sec20,8,9669.426682281493,38.11141950779401,123.5903387747068
phys,sec20,3,4087.8932769775392,12.507952417131827,120.71536304201106
phys,sec20,6,8216.091548156739,19.093813879454252,122.36472027722141
phys,sec18plus7,4,5143.169612121582,14.290454534925857,107.2129443182605
phys,sec15,1,16781.636462402344,18.458646071184322,120.37341113981029
phys,sec15,8,15458.235556221009,33.62063107227669,124.08846743306594
phys,sec20,4,5765.644998168946,13.826657335627322,120.04928967443747
phys,sec25,1,13183.6314453125,19.79823144603537,114.99041922089368
phys,sec18plus7,8,7795.04585723877,34.603598592234405,114.1910864643005
