Physics,Sections,CFG,mse,var_diff
phys,sec20,3,tensor(8322.4512),157.17665595369354
nophys,sec9plus6,3,tensor(4534.8247),57.81812955373658
phys,sec20,1,tensor(9386.3594),190.12595190252853
nophys,sec25,2,tensor(1356.5707),47.277348302078764
phys,sec25,3,tensor(12038.9521),227.4622351601956
nophys,sec9plus6,2,tensor(5597.3486),46.41207212946328
nophys,sec20,5,tensor(316.5995),24.367290111729982
phys,sec25,6,tensor(37205.6836),308.9393941690178
phys,sec15,7,tensor(46859.5430),321.6992984493699
phys,sec18plus7,5,tensor(29488.3164),579.7468655518463
phys,sec9plus6,7,tensor(69633.9922),405.66597242515087
phys,secincr20,5,tensor(35549.7852),278.9351610051609
phys,sec25,7,tensor(59640.1406),221.37195081870553
nophys,sec9plus6,5,tensor(6696.6152),59.908038179493424
nophys,secincr20,7,tensor(2002.1628),70.22757025011096
phys,sec18plus7,8,tensor(81574.5156),457.2696522289188
phys,sec25,8,tensor(53705.6719),300.0879780884618
phys,sec18plus7,6,tensor(68287.0078),446.9529845003307
nophys,sec20,6,tensor(119.6989),26.328107323566673
phys,sec18plus7,3,tensor(38073.7461),316.6709297563545
nophys,sec15,4,tensor(3998.8530),46.83699311255977
nophys,sec18plus7,5,tensor(1278.0460),44.020329721916205
nophys,sec25,8,tensor(3011.8057),75.48880782673507
phys,sec20,6,tensor(45945.5312),273.5568384919138
nophys,secincr20,4,tensor(5444.1055),47.96107317128836
phys,sec20,4,tensor(12406.6025),258.0287105824517
phys,sec15,2,tensor(4759.1787),215.53351327422087
phys,sec9plus6,4,tensor(46246.9531),536.5245941700899
phys,sec25,4,tensor(21640.5137),229.86722276306844
phys,secincr20,6,tensor(62251.5742),357.5968519550149
phys,sec15,3,tensor(21031.7930),285.78099064203127
nophys,sec20,4,tensor(383.4147),31.8800611655709
nophys,sec18plus7,4,tensor(1410.6166),44.65957507594995
nophys,secincr20,1,tensor(1445.8140),45.02570629335733
phys,sec25,2,tensor(9253.9590),161.88645402486102
phys,sec18plus7,2,tensor(31691.8945),295.52932218428157
nophys,sec25,1,tensor(1056.7688),46.284033558173334
nophys,sec18plus7,3,tensor(3141.2976),44.957684276437476
phys,sec18plus7,7,tensor(46805.4180),432.14732652338665
nophys,sec15,8,tensor(1928.7819),57.511355633647156
nophys,sec15,6,tensor(1706.1116),58.4200860813982
phys,sec15,1,tensor(24873.9824),358.91157560059264
phys,sec9plus6,2,tensor(68475.8984),273.43569898626936
phys,sec18plus7,1,tensor(3049.5127),190.05536042710352
nophys,secincr20,3,tensor(2404.5464),45.916265063719706
nophys,sec9plus6,8,tensor(2511.8396),79.49234200819092
phys,secincr20,4,tensor(24817.3672),325.5653059248365
phys,sec9plus6,5,tensor(50061.9727),460.0890727218
nophys,sec15,7,tensor(2202.9705),50.79265341320529
nophys,sec20,8,tensor(76.5760),14.869131140926942
phys,sec20,8,tensor(45196.5117),360.5719196393837
phys,sec20,2,tensor(8007.0332),190.4075572547895
nophys,sec18plus7,7,tensor(1250.0847),44.39860238333858
nophys,sec25,7,tensor(3921.0562),58.230187419098726
phys,sec15,5,tensor(77087.7344),589.2229582897512
phys,secincr20,7,tensor(67335.2891),405.71070659425044
phys,sec15,6,tensor(62845.6758),442.9313228981913
nophys,sec25,3,tensor(3340.8501),51.15065203451257
nophys,sec15,5,tensor(1941.8733),42.14258722915753
phys,sec20,7,tensor(25474.8789),366.30288492516195
phys,sec9plus6,8,tensor(93824.0469),311.1894694337375
nophys,sec20,1,tensor(494.3981),39.26314659688526
phys,secincr20,3,tensor(45157.1641),232.22716493550442
nophys,sec9plus6,1,tensor(1464.0486),48.649094070013206
phys,sec15,4,tensor(44549.6172),320.92968586290954
nophys,sec25,6,tensor(6534.8369),76.52680842830024
nophys,sec20,3,tensor(969.5464),38.02546256718564
phys,sec15,8,tensor(167047.1250),374.44193623906733
phys,secincr20,2,tensor(23342.1504),200.7282258047136
phys,secincr20,1,tensor(8325.3789),216.38211652238533
nophys,sec18plus7,8,tensor(909.3159),49.038181199591435
