,Model Type,Noise Steps,Sections,CFG,FID
0,nophys,1000ns,15,1,120.61537960983537
1,nophys,1000ns,15,3,119.17753376223071
2,nophys,1000ns,15,5,123.69727591051236
3,nophys,1000ns,15,6,117.78429814608717
4,nophys,1000ns,15,7,121.52195939671225
5,nophys,1000ns,9+6,1,119.73615027535416
6,nophys,1000ns,9+6,3,128.1383002805808
7,nophys,1000ns,9+6,5,126.53283295674224
8,nophys,1000ns,9+6,6,124.644270766111
9,nophys,1000ns,9+6,7,124.78831896621801
10,nophys,1000ns,25,1,118.95029278554235
11,nophys,1000ns,25,3,119.05659737828533
12,nophys,1000ns,25,5,122.66234423483083
13,nophys,1000ns,25,6,122.32673819813854
14,nophys,1000ns,25,7,125.27030736165732
15,nophys,1000ns,18+7,1,119.97378249963441
16,nophys,1000ns,18+7,3,125.38901037829987
17,nophys,1000ns,18+7,5,125.08367648591823
18,nophys,1000ns,18+7,6,125.54967218683139
19,nophys,1000ns,18+7,7,127.13812325828351
20,nophys,1000ns,45,1,118.02157423021998
21,nophys,1000ns,45,3,116.65401092352123
22,nophys,1000ns,45,5,116.79243985867804
23,nophys,1000ns,45,6,116.28373765223319
24,nophys,1000ns,45,7,120.05469805931737
25,nophys,700ns,15,1,129.2701525056099
26,nophys,700ns,15,3,122.665829673881
27,nophys,700ns,15,5,123.44046811744711
28,nophys,700ns,15,6,126.42569448091712
29,nophys,700ns,15,7,127.77530025012537
30,nophys,700ns,9+6,1,126.93924880732413
31,nophys,700ns,9+6,3,127.33591509886989
32,nophys,700ns,9+6,5,123.39995042069347
33,nophys,700ns,9+6,6,124.44701647818309
34,nophys,700ns,9+6,7,121.28722077852579
35,nophys,700ns,25,1,121.96130813843098
36,nophys,700ns,25,3,126.68570900910456
37,nophys,700ns,25,5,128.10920136742
38,nophys,700ns,25,6,126.01262746267271
39,nophys,700ns,25,7,129.90947569136037
40,nophys,700ns,18+7,1,124.49008123262016
41,nophys,700ns,18+7,3,127.31032034781632
42,nophys,700ns,18+7,5,125.54466287547466
43,nophys,700ns,18+7,6,125.2854070688909
44,nophys,700ns,18+7,7,124.2420483708563
45,nophys,700ns,45,1,115.87656386315452
46,nophys,700ns,45,3,121.90625543172672
47,nophys,700ns,45,5,119.60289625341778
48,nophys,700ns,45,6,118.28786345035576
49,nophys,700ns,45,7,118.44942676962332
50,nophys,850ns,15,1,119.23935560010828
51,nophys,850ns,15,3,128.29927031883088
52,nophys,850ns,15,5,125.47179227265431
53,nophys,850ns,15,6,131.36347991011408
54,nophys,850ns,15,7,135.0390625576429
55,nophys,850ns,9+6,1,117.85656719515545
56,nophys,850ns,9+6,3,128.13169818816397
57,nophys,850ns,9+6,5,118.84247619950062
58,nophys,850ns,9+6,6,127.5926201423456
59,nophys,850ns,9+6,7,129.30446803318208
60,nophys,850ns,25,1,117.97289004087024
61,nophys,850ns,25,3,121.01403280795303
62,nophys,850ns,25,5,118.94152863160829
63,nophys,850ns,25,6,122.13692546322972
64,nophys,850ns,25,7,128.0505000945184
65,nophys,850ns,18+7,1,120.20181730723472
66,nophys,850ns,18+7,3,127.39009629653248
67,nophys,850ns,18+7,5,124.72296871961704
68,nophys,850ns,18+7,6,130.45715301714864
69,nophys,850ns,18+7,7,133.08831187132566
70,nophys,850ns,45,1,117.38771786733058
71,nophys,850ns,45,3,118.8856212187714
72,nophys,850ns,45,5,120.9455808970082
73,nophys,850ns,45,6,124.89884489458584
74,nophys,850ns,45,7,124.90121357224596
75,phys10th,1000ns,15,1,126.02801765801749
76,phys10th,1000ns,15,3,119.8773944204074
77,phys10th,1000ns,15,5,117.14420158634539
