Model Type,Noise Steps,Sections,CFG,MSE,MSE_Norm,Var_Diff
phys10th,700,15,7,303527.89763526915,0.001120287391677266,41.62022017121928
phys10thbeam,850,18+7,5,69605.47717285156,0.0005692713926691795,55.97100002053999
phys10thbeam,700,18+7,3,38610.291186523435,0.00043257366560283116,34.31613317281576
phys10thbeam,850,45,1,9039.605413818359,3.319257189104974e-05,63.588545318841376
nophys,1000,18+7,1,7949.807376098633,4.5432421120494834e-05,42.31832571646579
phys10th,700,25,7,370997.85454444884,0.0006161771711049368,30.091931656411344
phys10thbeam,850,9+6,7,161312.8807067871,0.000436979590995179,73.15720028183003
phys10th,1000,45,6,147148.66047058106,0.0004529223373538116,32.53646288281301
phys10thbeam,850,25,5,75178.20452728271,0.0004807671162780025,43.7351006560314
phys10thbeam,700,18+7,5,92688.65742797851,0.00045748763695883097,17.67980366330407
nophys,700,9+6,1,29812.687121582032,3.4443355707480806e-05,61.2474590531328
nophys,700,18+7,7,428864.6341308594,0.00043610402617559884,65.38725879213054
nophys,850,15,3,55561.91750488281,0.00043528137266548585,83.47517288674814
phys10thbeam,1000,15,5,50734.00439224243,0.0005713683326575847,106.4525260516605
phys10th,700,18+7,6,297926.4283073425,0.0005061184072474134,58.88916651436809
phys10thbeam,1000,25,7,19855.979942321777,0.0004979856637874036,215.91796596500262
phys10thbeam,850,15,6,14965.658054351807,0.00048700225652282826,145.9910565995823
phys10th,1000,9+6,5,59562.87886047363,0.0004891876113106263,25.329357992501382
phys10th,700,15,6,285900.14521942136,0.0006726228300976799,39.96763711254837
nophys,700,18+7,3,123356.90546875,0.00042075732053490353,69.37502561810928
phys10thbeam,1000,9+6,7,132963.91973724365,0.0013249680591798096,45.20076812966531
phys10th,700,15,3,147038.54956054688,0.00040245689369839966,81.20012734064557
nophys,850,25,3,49372.23481445313,0.0004293975727705401,83.3037867938494
phys10th,700,9+6,1,17015.4576171875,3.870227769766643e-05,106.08611070337676
phys10th,700,9+6,5,307639.8814544678,0.0004647237024983042,43.46250601106848
phys10th,1000,25,7,180979.1612361908,0.0005192152164454455,95.42223583924606
phys10th,1000,45,1,8492.64716796875,0.0005555744224238878,47.85333584833229
phys10th,850,45,3,27104.9466003418,0.00013926360588811804,55.453659733888685
nophys,1000,9+6,5,129383.43722000121,0.0009586658583430107,48.60183468862441
phys10th,850,9+6,7,111187.24853515625,0.00030772294321650405,241.68797048854609
phys10th,1000,18+7,5,65660.22462158203,0.0004766061465488747,29.411575799049785
phys10th,850,9+6,1,12058.96469116211,3.515192083796137e-05,93.32858224653843
phys10th,700,18+7,5,249988.24088134765,0.0004732078006782103,70.58540649834791
nophys,850,25,1,5950.504182052612,3.344438200656441e-05,65.41839783783684
phys10thbeam,1000,18+7,1,9649.654086303712,4.395116334308113e-05,48.722187749757225
nophys,850,25,5,90479.95232238769,0.00046754253235121724,82.83175462476186
phys10thbeam,1000,45,6,84884.75155639648,0.0005972226839730865,53.5428982137923
nophys,700,45,6,275194.6083480835,0.0004569022215946461,62.66320688784915
phys10th,850,15,7,19502.20293960571,0.0004463806726562325,221.21345423247007
nophys,700,25,3,73163.94772949218,0.00042557485794532114,63.83227679112705
phys10thbeam,1000,18+7,3,10875.7018157959,0.0005851355191680341,43.31229878503721
nophys,850,25,6,116981.90917816162,0.0005604005256827805,76.26779370277976
phys10th,1000,15,5,74811.87358856201,0.000458494531812903,106.11670067186154
phys10th,850,45,7,59674.08916778564,0.00045557478588307274,152.00217398683944
nophys,1000,15,3,164354.5998779297,0.00046657656712341123,108.58972490299918
nophys,850,18+7,1,9394.062109375,3.777888573495147e-05,89.43599353603688
nophys,1000,18+7,5,81233.13385543824,0.0009848318773947539,61.67741326598792
phys10thbeam,850,9+6,6,139040.00450439454,0.00042850377103604843,78.85777364621799
nophys,1000,45,6,140726.27932891846,0.0005276878302538535,116.38180615029232
nophys,850,9+6,7,232630.46692504882,0.0004592598535055004,42.08252669928369
nophys,1000,25,1,6703.058392333985,4.1372155374119755e-05,46.71825574234684
nophys,1000,45,7,129219.32249069214,0.0006810485450841952,176.83126230429679
nophys,700,9+6,6,328985.79423828126,0.0004217505987980985,60.26671011577923
phys10th,1000,9+6,7,68347.30175247192,0.0007334070920478553,38.70893987228576
