Model Type,Noise Steps,Sections,CFG,MSE,MSE_Norm,Var_Diff
final,850,18+7,1,14125.453564453124,4.690103978646221e-05,46.089997324698864
final,850,25,2,14895.669604492188,3.826071715593571e-05,41.33828386069903
final,850,18+7,2,14122.1453125,5.174381822143914e-05,53.9810528718878
final,850,25,5,15697.592456054688,0.0010023684542829869,55.80339238985628
final,850,18+7,5,23004.5560546875,0.0006822169092629337,89.98753664406313
final,850,25,3,14423.58828125,0.0005475749843753874,45.60554695452119
final,850,25,1,17633.927575683592,8.102772044367157e-05,44.31307743402689
final,850,18+7,4,18206.436450195313,0.0005602398981864098,74.88143379129687
final,850,25,4,16047.113464355469,0.0007294732638911227,46.56141515011382
final,850,18+7,3,20524.975537109374,6.740746248397045e-05,62.79280037935473
