Physics,Sections,CFG,mse,var_diff,FID
nophys,seccos20,3,183571369.25,51.632358310772815,104.8128925498775
nophys,sec10,1,143035378.4,42.82172641888744,103.8504553302917
cosinesched,sec20,5,2651670046.8,52.042614547579305,102.44273555758484
cosinesched,sec30,8,2521640055.525,63.89965875319119,101.48496499686016
cosinesched,sec30,1,1902987028.0,56.486997485543455,95.4454513625083
cosinesched,seccos10,4,4111319643.4,45.75079712788725,104.83062617095338
nophys,sec30,3,245874319.15,39.74662324322783,112.15292625191296
nophys,seccos25,3,277785492.675,54.36575451823892,100.91514147974053
nophys,sec30,6,971126724.0375,64.14740785676943,108.00337673882984
cosinesched,sec30,4,2020264102.4125,75.2923290956796,106.58674046699169
cosinesched,seccos20,6,3347643106.15,43.30738615332094,101.2860842223068
cosinesched,seccos25,6,2494472547.13125,38.515152127102525,99.39674437751722
cosinesched,seccos20,5,3389675201.06875,37.53134788212976,104.1879894196748
cosinesched,sec15,3,3092022798.2,62.391175563972446,108.9505300041111
cosinesched,sec25,3,3337543902.4,54.7363762416252,106.47193837503796
nophys,sec20,6,1662721664.5,50.08439693699546,107.13331729513628
nophys,seccos20,8,802288022.025,84.00050099429771,100.18953263755118
nophys,sec10,5,29793110.0,88.33356220323446,102.68118506234036
cosinesched,sec25,7,4876677206.075,45.01210044804687,105.21247244677312
cosinesched,sec20,6,2812840457.3125,39.175753722060215,101.60416570119612
cosinesched,seccos10,2,3363573418.4,50.25975513225104,108.28532945030686
cosinesched,sec15,2,2689320801.6,63.31734465772761,110.95611953113664
nophys,seccos30,3,616999758.175,34.21111297476451,111.21824567201364
cosinesched,sec15,5,3961842606.825,42.60424622091829,103.74910535016606
cosinesched,sec15,4,3591877772.2,59.79640190364049,106.4704085473176
nophys,seccos10,1,122694283.1,51.94037210546569,104.15453437847036
cosinesched,seccos10,1,2880919264.8,53.64772567193104,96.20918252553432
nophys,sec20,2,86652877.85,53.33571855169559,110.46178981123646
cosinesched,seccos20,3,2697182225.7125,52.13256403572977,105.26115427100628
nophys,sec20,3,308359208.8,49.59082989409454,113.61295744080398
nophys,seccos30,1,86469666.4,56.39939735061223,107.19097378114613
nophys,seccos25,2,49436737.55,42.983421321718495,104.89391702267912
nophys,seccos25,7,924996030.575,128.56004524727035,99.1780895502163
cosinesched,sec15,6,4121680299.00625,49.28285370742743,104.35985790547755
nophys,seccos15,5,636181408.4,41.4521509490457,105.69462860691672
nophys,seccos30,4,1054395577.95,33.782771504787185,100.8085862566481
nophys,sec10,6,190776926.6,85.36145302470136,107.3568340181017
cosinesched,seccos15,1,2677997672.8,54.2069209513319,99.61050734473822
cosinesched,sec20,4,2311845955.6,54.30517434223793,104.16684769116748
cosinesched,seccos25,2,1949057652.6,48.22267890475782,108.00159089533626
nophys,sec15,6,1495776220.95,144.64405626617432,100.60099979057496
cosinesched,seccos15,3,3017894648.1125,47.31998094808172,107.45451043664072
cosinesched,seccos25,3,1899144565.45,46.68871403782301,102.52705300748532
nophys,seccos30,5,1333480071.2,31.156826596340323,99.71011662271012
