 16%|████████████████████████▊                                                                                                                                       | 310/2000 [46:01<4:08:12,  8.81s/it]
Epoch 1, Loss: 110.74931443364997, MSE Loss: 2.022882674869738, KLD Loss: 108.72643024043033
Epoch 11, Loss: 1.86860055672495, MSE Loss: 1.835408787978323, KLD Loss: 0.033191759335367305
Epoch 21, Loss: 1.7176100517574109, MSE Loss: 1.709247162467555, KLD Loss: 0.008362904975288793
Epoch 31, Loss: 1.6032708569576866, MSE Loss: 1.5992720629039563, KLD Loss: 0.003998787779557078
Epoch 41, Loss: 1.5112508033451282, MSE Loss: 1.5085726223493878, KLD Loss: 0.0026781809957403886
Epoch 51, Loss: 1.432197551978262, MSE Loss: 1.4302455375069065, KLD Loss: 0.0019520207455283717
Epoch 61, Loss: 1.3693721670853465, MSE Loss: 1.3679371444802535, KLD Loss: 0.001435025742179469
Epoch 71, Loss: 1.3107884808590538, MSE Loss: 1.3097443266918785, KLD Loss: 0.001044165146978278
Epoch 81, Loss: 1.2623492165615684, MSE Loss: 1.2615994967912372, KLD Loss: 0.0007497260445042661
Epoch 91, Loss: 1.2192685290386802, MSE Loss: 1.218739760549445, KLD Loss: 0.0005287669206920423
Epoch 101, Loss: 1.1835140366303294, MSE Loss: 1.1831488232863576, KLD Loss: 0.00036520550125523617
Epoch 111, Loss: 1.1535309176695974, MSE Loss: 1.1532849638085616, KLD Loss: 0.00024596170375221655
Epoch 121, Loss: 1.1314852551410073, MSE Loss: 1.1313232936357196, KLD Loss: 0.00016195679965772127
Epoch 131, Loss: 1.1030988254045184, MSE Loss: 1.102994818436472, KLD Loss: 0.00010400383095992239
Epoch 141, Loss: 1.0812220761650486, MSE Loss: 1.0811608151385659, KLD Loss: 6.128298608880294e-05
Epoch 151, Loss: 1.0612799242923134, MSE Loss: 1.0612486224425466, KLD Loss: 3.1295575593647206e-05
Epoch 161, Loss: 1.0450480486217297, MSE Loss: 1.045026616046303, KLD Loss: 2.1424732710185805e-05
Epoch 171, Loss: 1.0264167283710681, MSE Loss: 1.0264088103645725, KLD Loss: 7.91486940885845e-06
Epoch 181, Loss: 1.014349805681329, MSE Loss: 1.0143481932188336, KLD Loss: 1.5967770626670437e-06
Epoch 191, Loss: 1.0020432629083331, MSE Loss: 1.0020413994789124, KLD Loss: 1.8602923343056126e-06
Epoch 201, Loss: 0.9917648873831096, MSE Loss: 0.9917661484919096, KLD Loss: -1.2579717134174547e-06
Epoch 211, Loss: 0.98054039478302, MSE Loss: 0.9805394630683096, KLD Loss: 9.301461671528063e-07
Epoch 221, Loss: 0.9733314827868813, MSE Loss: 0.9733304789191798, KLD Loss: 1.003867701480263e-06
Epoch 231, Loss: 0.9675806164741516, MSE Loss: 0.9675801615965994, KLD Loss: 4.5644609551680716e-07
Epoch 241, Loss: 0.9567935905958477, MSE Loss: 0.9567929255334955, KLD Loss: 6.666308955142372e-07
Epoch 251, Loss: 0.9501135568869742, MSE Loss: 0.9501125749788786, KLD Loss: 9.834766387939453e-07
Epoch 261, Loss: 0.943927924883993, MSE Loss: 0.9439273696196707, KLD Loss: 5.568328656648335e-07
Epoch 271, Loss: 0.9369028712573805, MSE Loss: 0.9369025544116372, KLD Loss: 3.121401134290193e-07
Epoch 281, Loss: 0.9325908704807884, MSE Loss: 0.9325903089422929, KLD Loss: 5.64675582082648e-07
Epoch 291, Loss: 0.9320021208963896, MSE Loss: 0.9320015499466344, KLD Loss: 5.772239283511513e-07
Epoch 301, Loss: 0.9311685373908595, MSE Loss: 0.9311680260457491, KLD Loss: 5.129136537250719e-07
Epoch 311, Loss: 0.9226634502410889, MSE Loss: 0.9226632149595964, KLD Loss: 2.3057586268374793e-07
Epoch 321, Loss: 0.9189229795807287, MSE Loss: 0.9189230266370272, KLD Loss: -5.176192835757607e-08
Epoch 331, Loss: 0.9143287257144326, MSE Loss: 0.9143289170767132, KLD Loss: -1.9763645372892681e-07
Epoch 341, Loss: 0.9113427149622064, MSE Loss: 0.91134281221189, KLD Loss: -9.568114029733759e-08
Epoch 351, Loss: 0.9091172626144007, MSE Loss: 0.909116876752753, KLD Loss: 3.9213582089072777e-07
Epoch 361, Loss: 0.9057838508957311, MSE Loss: 0.9057834618969968, KLD Loss: 3.8899873432360197e-07
Epoch 371, Loss: 0.902703162870909, MSE Loss: 0.9027025825098941, KLD Loss: 5.787924716347143e-07
Epoch 381, Loss: 0.9016483269239727, MSE Loss: 0.9016472759999727, KLD Loss: 1.0524925432707135e-06
Epoch 391, Loss: 0.8987229027246174, MSE Loss: 0.8987215318177876, KLD Loss: 1.3709068298339844e-06
Epoch 401, Loss: 0.8976491219119022, MSE Loss: 0.8976476035620037, KLD Loss: 1.5308982447574014e-06
Epoch 411, Loss: 0.8966625646540993, MSE Loss: 0.8966606604425531, KLD Loss: 1.913622805946752e-06
Epoch 421, Loss: 0.8954729312344601, MSE Loss: 0.8954706819433915, KLD Loss: 2.2492910686292146e-06
Epoch 431, Loss: 0.8938656041496679, MSE Loss: 0.8938630599724618, KLD Loss: 2.5457457492226048e-06
Epoch 441, Loss: 0.8934372538014462, MSE Loss: 0.8934347504063657, KLD Loss: 2.5033950805664062e-06
Epoch 451, Loss: 0.891335550107454, MSE Loss: 0.8913332788567794, KLD Loss: 2.2681135880319697e-06
Epoch 461, Loss: 0.8903286237465707, MSE Loss: 0.8903260827064514, KLD Loss: 2.5347659462376645e-06
Epoch 471, Loss: 0.8900560360205801, MSE Loss: 0.890053275384401, KLD Loss: 2.759067635787161e-06
Epoch 481, Loss: 0.8889691265005815, MSE Loss: 0.8889662780259785, KLD Loss: 2.8500431462338097e-06
Epoch 491, Loss: 0.8878684608559859, MSE Loss: 0.8878656625747681, KLD Loss: 2.8123981074282996e-06
Epoch 501, Loss: 0.8874563229711432, MSE Loss: 0.8874537819310239, KLD Loss: 2.542608662655479e-06
Epoch 511, Loss: 0.886627131386807, MSE Loss: 0.8866247189672369, KLD Loss: 2.4092824835526314e-06
Epoch 521, Loss: 0.8863300304663809, MSE Loss: 0.8863276054984645, KLD Loss: 2.4233993731046976e-06
Epoch 531, Loss: 0.8850105216628626, MSE Loss: 0.8850082347267553, KLD Loss: 2.293210280568976e-06
Epoch 541, Loss: 0.8868079844274019, MSE Loss: 0.8868058449343631, KLD Loss: 2.137924495496248e-06
Epoch 551, Loss: 0.8846049308776855, MSE Loss: 0.884602920005196, KLD Loss: 2.009303946244089e-06
