 52%|████████████████████████████████████████████████████████████████████████████████████▏                                                                              | 310/600 [42:53<39:56,  8.27s/it]
Epoch 1, Loss: 295480.8781694111, MSE Loss: 1.1517988819825022, KLD Loss: 295479.7246903118
Epoch 11, Loss: 0.5711218055925871, MSE Loss: 0.46833279572035136, KLD Loss: 0.10278901614640888
Epoch 21, Loss: 0.426349495586596, MSE Loss: 0.3599252685120231, KLD Loss: 0.06642422707457292
Epoch 31, Loss: 0.34611911365860387, MSE Loss: 0.30351514722171585, KLD Loss: 0.042603966829023864
Epoch 41, Loss: 0.30176690377687154, MSE Loss: 0.27274131461193685, KLD Loss: 0.029025588478696972
Epoch 51, Loss: 0.27620217047239604, MSE Loss: 0.25466608530596685, KLD Loss: 0.02153608575463295
Epoch 61, Loss: 0.2289364533989053, MSE Loss: 0.2115870918098249, KLD Loss: 0.01734936158908041
Epoch 71, Loss: 0.21748360756196475, MSE Loss: 0.20255805395151438, KLD Loss: 0.014925553806518254
Epoch 81, Loss: 0.2098781584124816, MSE Loss: 0.1964288393133565, KLD Loss: 0.013449319197159065
Epoch 91, Loss: 0.20502784142368718, MSE Loss: 0.19254190513962194, KLD Loss: 0.012485936087997336
Epoch 101, Loss: 0.20148285752848574, MSE Loss: 0.18968251425968974, KLD Loss: 0.011800343464863928
Epoch 111, Loss: 0.19859593636111209, MSE Loss: 0.18733013460510656, KLD Loss: 0.011265801756005538
Epoch 121, Loss: 0.19654040273867154, MSE Loss: 0.18572697278700376, KLD Loss: 0.010813430147735696
Epoch 131, Loss: 0.1950750735245253, MSE Loss: 0.18466654812034808, KLD Loss: 0.010408525208109304
Epoch 141, Loss: 0.19375697405714737, MSE Loss: 0.1837236191097059, KLD Loss: 0.010033354555305681
Epoch 151, Loss: 0.1927495716433776, MSE Loss: 0.18306982595669596, KLD Loss: 0.00967974583373258
Epoch 161, Loss: 0.191778542964082, MSE Loss: 0.18243366636727987, KLD Loss: 0.009344876939921002
Epoch 171, Loss: 0.19110191809503654, MSE Loss: 0.18207450446329618, KLD Loss: 0.009027413533706414
Epoch 181, Loss: 0.19046466366240852, MSE Loss: 0.18173777194399582, KLD Loss: 0.0087268917184127
Epoch 191, Loss: 0.18984246410821615, MSE Loss: 0.18139974380794324, KLD Loss: 0.008442720202238936
Epoch 201, Loss: 0.18950352935414566, MSE Loss: 0.18132912014660083, KLD Loss: 0.00817440940361274
Epoch 211, Loss: 0.18897642744214913, MSE Loss: 0.18105495760315343, KLD Loss: 0.007921469838995682
Epoch 221, Loss: 0.18865327929195605, MSE Loss: 0.18097095897323207, KLD Loss: 0.00768232031872398
Epoch 231, Loss: 0.18830299534295736, MSE Loss: 0.18084679936107836, KLD Loss: 0.007456195981878983
Epoch 241, Loss: 0.18795888910168096, MSE Loss: 0.18071765570264114, KLD Loss: 0.007241233399039821
Epoch 251, Loss: 0.1876328579689327, MSE Loss: 0.180596093598165, KLD Loss: 0.0070367643707676935
Epoch 261, Loss: 0.1874456413482365, MSE Loss: 0.18060553466018878, KLD Loss: 0.00684010668804771
