 21%|█████████████████████████████████                                                                                                                               | 310/1500 [42:51<2:42:23,  8.19s/it]
Epoch 1, Loss: 1403.023827245361, MSE Loss: 0.9944108159918534, KLD Loss: 1402.0294673536953
Epoch 11, Loss: 0.5577509779679147, MSE Loss: 0.473696945529235, KLD Loss: 0.08405403243867975
Epoch 21, Loss: 0.3820727969470777, MSE Loss: 0.33594852685928345, KLD Loss: 0.04612427008779425
Epoch 31, Loss: 0.3050317325090107, MSE Loss: 0.27362868503520366, KLD Loss: 0.03140304747380709
Epoch 41, Loss: 0.27905461035276713, MSE Loss: 0.2523160976798911, KLD Loss: 0.0267385134571477
Epoch 51, Loss: 0.27064886689186096, MSE Loss: 0.24558092261615552, KLD Loss: 0.02506794584424872
Epoch 61, Loss: 0.17969346203302083, MSE Loss: 0.16652194920339083, KLD Loss: 0.013171512829629998
Epoch 71, Loss: 0.1394694620057156, MSE Loss: 0.12921468403778577, KLD Loss: 0.01025477836006566
Epoch 81, Loss: 0.12187781145698146, MSE Loss: 0.1126397801072974, KLD Loss: 0.009238031349684062
Epoch 91, Loss: 0.11547706825168509, MSE Loss: 0.10658563791136992, KLD Loss: 0.008891430340315165
Epoch 101, Loss: 0.11361877816288095, MSE Loss: 0.10485429630467766, KLD Loss: 0.008764481858203286
Epoch 111, Loss: 0.08987428012647126, MSE Loss: 0.08243595926385176, KLD Loss: 0.0074383208626195
Epoch 121, Loss: 0.0775538157475622, MSE Loss: 0.07084778970793675, KLD Loss: 0.006706026039625469
Epoch 131, Loss: 0.07167910745269374, MSE Loss: 0.06536118431310904, KLD Loss: 0.006317922943516781
Epoch 141, Loss: 0.06946974012412523, MSE Loss: 0.06330646300002148, KLD Loss: 0.006163277124103747
Epoch 151, Loss: 0.06893242032904374, MSE Loss: 0.06282839629995196, KLD Loss: 0.006104023833023875
Epoch 161, Loss: 0.0598090583164441, MSE Loss: 0.05442266342671294, KLD Loss: 0.005386394889731156
Epoch 171, Loss: 0.05496573663855854, MSE Loss: 0.050052541455155926, KLD Loss: 0.004913195183402614
Epoch 181, Loss: 0.052483456503403816, MSE Loss: 0.0478387645592815, KLD Loss: 0.0046446919441223145
Epoch 191, Loss: 0.051643892338401394, MSE Loss: 0.04710929331026579, KLD Loss: 0.004534599028135601
Epoch 201, Loss: 0.05132582940553364, MSE Loss: 0.04683336144999454, KLD Loss: 0.004492467955539101
Epoch 211, Loss: 0.04727615631724659, MSE Loss: 0.043314075587611446, KLD Loss: 0.0039620807296351385
Epoch 221, Loss: 0.0449583316712003, MSE Loss: 0.04136205876344129, KLD Loss: 0.003596272907759014
Epoch 231, Loss: 0.04388535199196715, MSE Loss: 0.04050088105233092, KLD Loss: 0.0033844709396362305
Epoch 241, Loss: 0.04346528943432005, MSE Loss: 0.04016806871483201, KLD Loss: 0.0032972207194880434
Epoch 251, Loss: 0.0432093055232575, MSE Loss: 0.039945170087249654, KLD Loss: 0.003264135436007851
Epoch 261, Loss: 0.04136566955008005, MSE Loss: 0.03852300483145212, KLD Loss: 0.0028426647186279297
Epoch 271, Loss: 0.0401631262349455, MSE Loss: 0.037610080485281194, KLD Loss: 0.0025530457496643066
Epoch 281, Loss: 0.03957550502137134, MSE Loss: 0.03718881740381843, KLD Loss: 0.002386687617552908
Epoch 291, Loss: 0.03924956309952234, MSE Loss: 0.036930884381658154, KLD Loss: 0.002318678717864187
Epoch 301, Loss: 0.03927950423799063, MSE Loss: 0.03698651198493807, KLD Loss: 0.002292992253052561
Epoch 311, Loss: 0.03828554953399457, MSE Loss: 0.03631797197617983, KLD Loss: 0.0019675775578147487
Epoch 321, Loss: 0.037612926803137124, MSE Loss: 0.03586528097328387, KLD Loss: 0.0017476458298532587
Epoch 331, Loss: 0.03726692713404957, MSE Loss: 0.03564362129882762, KLD Loss: 0.001623305835221943
Epoch 341, Loss: 0.037164355383107535, MSE Loss: 0.03559151272240438, KLD Loss: 0.0015728426607031572
Epoch 351, Loss: 0.03705927298257226, MSE Loss: 0.035505768892012145, KLD Loss: 0.00155350409056011
Epoch 361, Loss: 0.03651672876194904, MSE Loss: 0.03520097191396512, KLD Loss: 0.0013157568479839124
