2024-09-30 11:41:38,882 INFO    MainThread:70580 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-09-30 11:41:38,883 INFO    MainThread:70580 [wandb_setup.py:_flush():77] Configure stats pid to 70580
2024-09-30 11:41:38,883 INFO    MainThread:70580 [wandb_setup.py:_flush():77] Loading settings from /home/jechmate/.config/wandb/settings
2024-09-30 11:41:38,883 INFO    MainThread:70580 [wandb_setup.py:_flush():77] Loading settings from /home/jechmate/diffAE-elibeams/wandb/settings
2024-09-30 11:41:38,883 INFO    MainThread:70580 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-30 11:41:38,883 INFO    MainThread:70580 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'vae.py', 'program_abspath': '/home/jechmate/diffAE-elibeams/vae.py', 'program': '/home/jechmate/diffAE-elibeams/vae.py'}
2024-09-30 11:41:38,883 INFO    MainThread:70580 [wandb_setup.py:_flush():77] Applying login settings: {'api_key': '***REDACTED***', 'force': True}
2024-09-30 11:41:38,883 INFO    MainThread:70580 [wandb_setup.py:_flush():77] Applying login settings: {'api_key': '***REDACTED***'}
2024-09-30 11:41:38,883 INFO    MainThread:70580 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-30 11:41:38,883 INFO    MainThread:70580 [wandb_init.py:_log_setup():532] Logging user logs to /home/jechmate/diffAE-elibeams/wandb/run-20240930_114138-iuuvdytr/logs/debug.log
2024-09-30 11:41:38,883 INFO    MainThread:70580 [wandb_init.py:_log_setup():533] Logging internal logs to /home/jechmate/diffAE-elibeams/wandb/run-20240930_114138-iuuvdytr/logs/debug-internal.log
2024-09-30 11:41:38,883 INFO    MainThread:70580 [wandb_init.py:init():616] calling init triggers
2024-09-30 11:41:38,883 INFO    MainThread:70580 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {'epochs': 100, 'batch_size': 64, 'learning_rate': 0.001, 'latent_dim': 64}
2024-09-30 11:41:38,883 INFO    MainThread:70580 [wandb_init.py:init():666] starting backend
2024-09-30 11:41:38,883 INFO    MainThread:70580 [wandb_init.py:init():670] setting up manager
2024-09-30 11:41:38,884 INFO    MainThread:70580 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-30 11:41:38,885 INFO    MainThread:70580 [wandb_init.py:init():678] backend started and connected
2024-09-30 11:41:38,886 INFO    MainThread:70580 [wandb_init.py:init():773] updated telemetry
2024-09-30 11:41:38,891 INFO    MainThread:70580 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-09-30 11:41:39,149 INFO    MainThread:70580 [wandb_init.py:init():857] starting run threads in backend
2024-09-30 11:41:39,241 INFO    MainThread:70580 [wandb_run.py:_console_start():2459] atexit reg
2024-09-30 11:41:39,242 INFO    MainThread:70580 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-09-30 11:41:39,243 INFO    MainThread:70580 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-09-30 11:41:39,243 INFO    MainThread:70580 [wandb_run.py:_redirect():2397] Redirects installed.
2024-09-30 11:41:39,244 INFO    MainThread:70580 [wandb_init.py:init():900] run started, returning control to user process
2024-09-30 11:41:41,807 WARNING MsgRouterThr:70580 [router.py:message_loop():77] message_loop has been closed
