100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 100/100 [04:15<00:00,  2.56s/it]
Epoch 1, Loss: 11911.8205, Recon Loss: 11911.8205, KLD Loss: 9180912049.8154
Epoch 11, Loss: 707.5022, Recon Loss: 677.0896, KLD Loss: 152.0632
Epoch 21, Loss: 1676.7639, Recon Loss: 1437.4161, KLD Loss: 598.3695
Epoch 31, Loss: 731.0438, Recon Loss: 696.5336, KLD Loss: 57.5171
Epoch 41, Loss: 198.6539, Recon Loss: 160.9911, KLD Loss: 47.0785
Epoch 51, Loss: 150.0109, Recon Loss: 109.3140, KLD Loss: 40.6969
Epoch 61, Loss: 149.2043, Recon Loss: 114.8909, KLD Loss: 34.3134
Epoch 71, Loss: 106.8685, Recon Loss: 74.3217, KLD Loss: 32.5468
Epoch 81, Loss: 90.4582, Recon Loss: 59.4888, KLD Loss: 30.9694
Epoch 91, Loss: 79.4248, Recon Loss: 49.9174, KLD Loss: 29.5074
Epoch 100, Loss: 70.4074, Recon Loss: 40.4986, KLD Loss: 29.9088
