 31%|██████████████████████████████████████████████████▏                                                                                                               | 310/1000 [12:57<28:39,  2.49s/it]
Epoch 1, Loss: 19247.1246, Recon Loss: 19247.1246, KLD Loss: 328047931.6506
Epoch 11, Loss: 402.0805, Recon Loss: 396.9587, KLD Loss: 256.0898
Epoch 21, Loss: 213.1799, Recon Loss: 205.2751, KLD Loss: 197.6209
Epoch 31, Loss: 86.1340, Recon Loss: 77.9157, KLD Loss: 136.9712
Epoch 41, Loss: 78.8375, Recon Loss: 69.9087, KLD Loss: 111.6108
Epoch 51, Loss: 64.8497, Recon Loss: 54.7451, KLD Loss: 101.0458
Epoch 61, Loss: 69.2100, Recon Loss: 57.6568, KLD Loss: 96.2765
Epoch 71, Loss: 48.5720, Recon Loss: 35.9349, KLD Loss: 90.2652
Epoch 81, Loss: 45.2280, Recon Loss: 33.1020, KLD Loss: 75.7871
Epoch 91, Loss: 61.2715, Recon Loss: 48.0342, KLD Loss: 73.5408
Epoch 101, Loss: 49.4935, Recon Loss: 35.9962, KLD Loss: 67.4868
Epoch 111, Loss: 72.1812, Recon Loss: 58.5320, KLD Loss: 62.0419
Epoch 121, Loss: 47.3762, Recon Loss: 33.3002, KLD Loss: 58.6498
Epoch 131, Loss: 38.9278, Recon Loss: 24.8187, KLD Loss: 54.2655
Epoch 141, Loss: 39.4221, Recon Loss: 24.8555, KLD Loss: 52.0238
Epoch 151, Loss: 37.1992, Recon Loss: 23.0817, KLD Loss: 47.0582
Epoch 161, Loss: 44.7636, Recon Loss: 30.3015, KLD Loss: 45.1942
Epoch 171, Loss: 39.2205, Recon Loss: 24.5718, KLD Loss: 43.0846
Epoch 181, Loss: 42.0082, Recon Loss: 26.8180, KLD Loss: 42.1950
Epoch 191, Loss: 47.8756, Recon Loss: 31.1208, KLD Loss: 44.0915
Epoch 201, Loss: 43.1032, Recon Loss: 27.3654, KLD Loss: 39.3446
Epoch 211, Loss: 34.1782, Recon Loss: 19.3463, KLD Loss: 35.3140
Epoch 221, Loss: 35.1797, Recon Loss: 20.1485, KLD Loss: 34.1618
Epoch 231, Loss: 39.0644, Recon Loss: 24.2637, KLD Loss: 32.1754
Epoch 241, Loss: 35.5748, Recon Loss: 20.6317, KLD Loss: 31.1315
Epoch 251, Loss: 34.7982, Recon Loss: 19.4622, KLD Loss: 30.6718
Epoch 261, Loss: 36.6896, Recon Loss: 21.9490, KLD Loss: 28.3474
Epoch 271, Loss: 32.9147, Recon Loss: 17.5744, KLD Loss: 28.4080
Epoch 281, Loss: 32.1218, Recon Loss: 17.3161, KLD Loss: 26.4388
Epoch 291, Loss: 29.1801, Recon Loss: 15.2216, KLD Loss: 24.0663
Epoch 301, Loss: 32.8954, Recon Loss: 18.5060, KLD Loss: 23.9823
Epoch 311, Loss: 31.6845, Recon Loss: 17.7984, KLD Loss: 22.3969
Epoch 321, Loss: 29.5346, Recon Loss: 15.0479, KLD Loss: 22.6356
Epoch 331, Loss: 37.7252, Recon Loss: 22.2719, KLD Loss: 23.4141
Epoch 341, Loss: 29.8211, Recon Loss: 15.4259, KLD Loss: 21.1694
Epoch 351, Loss: 33.0188, Recon Loss: 18.7154, KLD Loss: 20.4334
Epoch 361, Loss: 31.2136, Recon Loss: 16.8914, KLD Loss: 19.8919
Epoch 371, Loss: 29.8603, Recon Loss: 15.3659, KLD Loss: 19.5870
Epoch 381, Loss: 30.3567, Recon Loss: 15.8876, KLD Loss: 19.0383
Epoch 391, Loss: 33.4449, Recon Loss: 18.7400, KLD Loss: 18.8525
Epoch 401, Loss: 39.4565, Recon Loss: 24.5218, KLD Loss: 18.6684
Epoch 411, Loss: 30.6540, Recon Loss: 16.0174, KLD Loss: 17.8495
Epoch 421, Loss: 44.7460, Recon Loss: 29.2058, KLD Loss: 18.5003
Epoch 431, Loss: 33.7766, Recon Loss: 18.9302, KLD Loss: 17.2633
Epoch 441, Loss: 29.7784, Recon Loss: 15.2592, KLD Loss: 16.4991
Epoch 451, Loss: 30.8599, Recon Loss: 15.9582, KLD Loss: 16.5574
