 16%|█████████████████████████▊                                                                                                                                        | 319/2000 [11:29<59:53,  2.14s/it]
Epoch 10, Loss: 403.4007, Recon Loss: 371.7223, KLD Loss: 31.6784, Val Loss: 338.2672
Epoch 20, Loss: 186.0169, Recon Loss: 150.1026, KLD Loss: 35.9143, Val Loss: 162.7049
Epoch 30, Loss: 140.8158, Recon Loss: 107.3962, KLD Loss: 33.4196, Val Loss: 126.8237
Epoch 40, Loss: 130.5803, Recon Loss: 99.9840, KLD Loss: 30.5963, Val Loss: 130.3993
Epoch 50, Loss: 101.4581, Recon Loss: 74.7852, KLD Loss: 26.6728, Val Loss: 121.1191
Epoch 60, Loss: 85.4908, Recon Loss: 59.0615, KLD Loss: 26.4293, Val Loss: 96.0576
Epoch 70, Loss: 107.0270, Recon Loss: 80.6207, KLD Loss: 26.4062, Val Loss: 188.6356
Epoch 80, Loss: 92.1692, Recon Loss: 67.6323, KLD Loss: 24.5369, Val Loss: 89.0546
Epoch 90, Loss: 162.4624, Recon Loss: 139.9210, KLD Loss: 22.5413, Val Loss: 163.2427
Epoch 100, Loss: 61.8470, Recon Loss: 40.7185, KLD Loss: 21.1285, Val Loss: 66.6481
Epoch 110, Loss: 74.6365, Recon Loss: 52.1174, KLD Loss: 22.5191, Val Loss: 59.0508
Epoch 120, Loss: 91.7745, Recon Loss: 69.8867, KLD Loss: 21.8878, Val Loss: 81.6394
Epoch 130, Loss: 70.0365, Recon Loss: 49.9938, KLD Loss: 20.0427, Val Loss: 54.4443
Epoch 140, Loss: 47.2073, Recon Loss: 29.9929, KLD Loss: 17.2144, Val Loss: 65.0173
Epoch 150, Loss: 68.9574, Recon Loss: 50.3514, KLD Loss: 18.6060, Val Loss: 56.1866
Epoch 160, Loss: 53.3122, Recon Loss: 36.1198, KLD Loss: 17.1923, Val Loss: 59.5799
Epoch 170, Loss: 50.7888, Recon Loss: 34.0698, KLD Loss: 16.7189, Val Loss: 47.5097
Epoch 180, Loss: 42.8729, Recon Loss: 26.7200, KLD Loss: 16.1529, Val Loss: 45.5226
Epoch 190, Loss: 44.5483, Recon Loss: 28.8238, KLD Loss: 15.7246, Val Loss: 41.8614
Epoch 200, Loss: 43.0998, Recon Loss: 26.3498, KLD Loss: 16.7500, Val Loss: 42.9923
Epoch 210, Loss: 34.1504, Recon Loss: 18.7578, KLD Loss: 15.3927, Val Loss: 34.8238
Epoch 220, Loss: 48.6126, Recon Loss: 32.7155, KLD Loss: 15.8971, Val Loss: 43.3801
Epoch 230, Loss: 35.5476, Recon Loss: 20.4717, KLD Loss: 15.0759, Val Loss: 45.3305
